,Hair
Acaena_exigua,Y
Silene_struthioloides,Y
Bidens_hillebrandiana,Y
Tetramolopium_capillare,Y
Silene_hawaiiensis,Y
Tetramolopium_filiforme,Y
Tetramolopium_remyi,Y
Dichanthelium_koolauense,N
Portulaca_sclerocarpa,Y
Coprosma_ernodeoides,N
Tetramolopium_humile,Y
Portulaca_villosa,Y
Coprosma_elliptica,Y
Lysimachia_filifolia,Y
Schiedea_spergulina,Y
Stenogyne_microphylla,Y
Myrsine_denticulata,N
Schiedea_mannii,Y
Heliotropium_anomalum,Y
Peperomia_eekana,Y
Peperomia_mauiensis,Y
Peperomia_kipahuluensis,Y
Agrostis_sandwicensis,N
Myrsine_vaccinioides,N
Geranium_kauaiense,Y
Schiedea_haleakalensis,N
Tetramolopium_consanguineum,Y
Silene_degeneri,Y
Isachne_pallens,N
Peperomia_ligustrina,Y
Myrsine_petiolata,Y
Myrsine_sandwicensis,N
Amaranthus_brownii,Y
Tetramolopium_lepidotum,Y
Eragrostis_monticola,N
Tetramolopium_arenarium,Y
Eragrostis_mauiensis,Y
Myrsine_punctata,Y
Peperomia_degeneri,Y
Schiedea_adamantis,N
Peperomia_alternifolia,N
Deschampsia_nubigena,N
Myrsine_linearifolia,Y
Panicum_fauriei,Y
Peperomia_ellipticibacca,Y
Panicum_ramosius,N
Eragrostis_leptophylla,Y
Poa_siphonoglossa,N
Phyllostegia_rockii,Y
Hedyotis_foliosa,Y
Schiedea_ligustrina,N
Myrsine_alyxifolia,N
Dissochondrus_biflorus,N
Geranium_cuneatum,Y
Metrosideros_tremuloides,N
Schiedea_apokremnos,N
Schiedea_lydgatei,N
Wikstroemia_pulcherrima,N
Calamagrostis_hillebrandii,N
Peperomia_sandwicensis,Y
Stenogyne_cranwelliae,N
Lysimachia_daphnoides,Y
Metrosideros_rugosa,Y
Coprosma_montana,Y
Panicum_pellitum,Y
Schiedea_salicaria,N
Silene_lanceolata,Y
Schiedea_menziesii,Y
Labordia_waialealae,Y
