,Hair
Acaena_exigua,H
Silene_struthioloides,M
Bidens_hillebrandiana,M
Tetramolopium_capillare,M
Silene_hawaiiensis,Y
Tetramolopium_filiforme,Y
Tetramolopium_remyi,Y
Dichanthelium_koolauense,N
Portulaca_sclerocarpa,Y
Coprosma_ernodeoides,N
Tetramolopium_humile,Y
Portulaca_villosa,Y
Coprosma_elliptica,H
Lysimachia_filifolia,Y
Schiedea_spergulina,M
Stenogyne_microphylla,M
Myrsine_denticulata,N
Schiedea_mannii,M
Heliotropium_anomalum,Y
Peperomia_eekana,Y
Peperomia_mauiensis,Y
Peperomia_kipahuluensis,M
Agrostis_sandwicensis,N
Myrsine_vaccinioides,N
Geranium_kauaiense,H
Schiedea_haleakalensis,N
Tetramolopium_consanguineum,Y
Silene_degeneri,Y
Isachne_pallens,N
Peperomia_ligustrina,M
Myrsine_petiolata,H
Myrsine_sandwicensis,N
Amaranthus_brownii,Y
Tetramolopium_lepidotum,Y
Eragrostis_monticola,N
Tetramolopium_arenarium,Y
Eragrostis_mauiensis,H
Myrsine_punctata,Y
Peperomia_degeneri,H
Schiedea_adamantis,N
Peperomia_alternifolia,N
Deschampsia_nubigena,N
Myrsine_linearifolia,H
Panicum_fauriei,Y
Peperomia_ellipticibacca,Y
Panicum_ramosius,N
Eragrostis_leptophylla,H
Poa_siphonoglossa,N
Phyllostegia_rockii,Y
Hedyotis_foliosa,H
Schiedea_ligustrina,N
Myrsine_alyxifolia,N
Dissochondrus_biflorus,N
Geranium_cuneatum,M
Metrosideros_tremuloides,N
Schiedea_apokremnos,N
Schiedea_lydgatei,N
Wikstroemia_pulcherrima,N
Calamagrostis_hillebrandii,N
Peperomia_sandwicensis,Y
Stenogyne_cranwelliae,N
Lysimachia_daphnoides,Y
Metrosideros_rugosa,H
Coprosma_montana,H
Panicum_pellitum,Y
Schiedea_salicaria,N
Silene_lanceolata,Y
Schiedea_menziesii,M
Labordia_waialealae,H
Peperomia_globulanthera,N
Silene_cryptopetala,N
Wikstroemia_phillyreifolia,N
Vaccinium_reticulatum,Y
Panicum_konaense,Y
Panicum_tenuifolium,M
Silene_alexandri,N
Panicum_beecheyi,M
Schiedea_stellarioides,M
Geranium_hanaense,Y
Labordia_hosakana,Y
Sophora_chrysophylla,Y
Myrsine_helleri,N
Trisetum_glomeratum,M
Scaevola_coriacea,N
Poa_mannii,N
Ischaemum_byrone,Y
Bidens_mauiensis,M
Achyranthes_mutica,M
Lepidium_arbuscula,N
Haplostachys_truncata,Y
Peperomia_cookiana,Y
Chenopodium_oahuense,Y
Schiedea_hookeri,M
Scaevola_kilaueae,N
Lobelia_monostachya,N
Peperomia_kokeana,Y
Phyllostegia_mannii,Y
Peperomia_expallescens,H
Stenogyne_viridis,H
Panicum_xerophilum,Y
Myrsine_mezii,H
Haplostachys_linearifolia,Y
Isodendrion_hosakae,H
Schiedea_globosa,M
Phyllostegia_variabilis,Y
Wikstroemia_monticola,N
Scaevola_gaudichaudii,N
Schiedea_kealiae,N
Coprosma_menziesii,H
Phyllostegia_hispida,Y
Dubautia_sherffiana,Y
Eugenia_koolauensis,Y
Lepidium_bidentatum,N
Haplostachys_bryanii,Y
Bidens_molokaiensis,N
Vigna_o-wahuensis,Y
Silene_perlmanii,H
Peperomia_hypoleuca,M
Artemisia_kauaiensis,H
Festuca_hawaiiensis,N
Phyllanthus_distichus,Y
Wilkesia_hobdyi,Y
Peperomia_hesperomannii,N
Lysimachia_lydgatei,Y
Stenogyne_calaminthoides,H
Isodendrion_pyrifolium,H
Poa_sandvicensis,N
Argyroxiphium_virescens,M
Coprosma_cymosa,H
Artemisia_mauiensis,Y
Vicia_menziesii,Y
Stenogyne_kamehamehae,H
Stenogyne_rotundifolia,M
Pipturus_forbesii,Y
Wikstroemia_oahuensis,M
Geranium_multiflorum,Y
Isachne_distichophylla,Y
Stenogyne_calycosa,N
Hibiscus_clayi,N
Clermontia_micrantha,N
Stenogyne_kaalae,N
Stenogyne_sessilis,M
Bidens_cervicata,M
Stenogyne_haliakalae,Y
Vaccinium_dentatum,Y
Peperomia_oahuensis,N
Lobelia_niihauensis,M
Myrsine_kauaiensis,N
Portulaca_molokiniensis,Y
Myrsine_fosbergii,N
Labordia_fagraeoidea,H
Coprosma_foliosa,Y
Argyroxiphium_kauense,Y
Coprosma_ternata,N
Capparis_sandwichiana,N
Stenogyne_oxygona,Y
Peperomia_membranacea,N
Stenogyne_campanulata,Y
Peperomia_latifolia,H
Eragrostis_atropioides,N
Wikstroemia_sandwicensis,H
Coprosma_ochracea,Y
Phyllostegia_lantanoides,Y
Phyllostegia_hillebrandii,N
Viola_kauaensis,M
Viola_lanaiensis,N
Gouania_meyenii,H
Lobelia_hillebrandii,H
Artemisia_australis,Y
Bonamia_menziesii,Y
Lysimachia_kalalauensis,Y
Scaevola_gaudichaudiana,N
Diospyros_sandwicensis,Y
Lobelia_grayana,H
Cyanea_linearifolia,N
Geranium_arboreum,Y
Peperomia_remyi,Y
Vaccinium_calycinum,N
Fragaria_vesca,Y
Trematolobelia_singularis,N
Lysimachia_venosa,N
Lysimachia_hillebrandii,M
Stenogyne_bifida,Y
Stenogyne_scrophularioides,M
Canavalia_pubescens,Y
Panicum_torridum,Y
Myrsine_juddii,H
Gouania_vitifolia,Y
Wikstroemia_bicornuta,Y
Bidens_amplectens,H
Nototrichium_sandwicense,Y
Bidens_sandvicensis,N
Cyrtandra_procera,H
Phyllostegia_racemosa,Y
Lysimachia_maxima,M
Canavalia_molokaiensis,Y
Viola_helenae,N
Coprosma_kauensis,Y
Metrosideros_macropus,N
Stenogyne_rugosa,M
Peperomia_obovatilimba,Y
Nototrichium_humile,Y
Schiedea_nuttallii,N
Myrsine_knudsenii,N
Hedyotis_littoralis,N
Schiedea_diffusa,M
Remya_mauiensis,Y
Stenogyne_macrantha,Y
Zanthoxylum_hawaiiense,H
Labordia_pumila,N
Wikstroemia_forbesii,N
Bidens_macrocarpa,Y
Lobelia_remyi,H
Psychotria_fauriei,H
Astelia_waialealae,Y
Rumex_skottsbergii,N
Labordia_waiolani,H
Gardenia_brighamii,Y
Boerhavia_herbstii,Y
Bidens_asymmetrica,N
Labordia_helleri,N
Lobelia_yuccoides,H
Coprosma_pubens,Y
Clermontia_multiflora,N
Coprosma_waimeae,Y
Rubus_macraei,Y
Myrsine_lessertiana,N
Argyroxiphium_sandwicense_subsp._macrocephalum,Y
Peperomia_rockii,Y
Stenogyne_purpurea,M
Acacia_koa,N
Ranunculus_hawaiensis,Y
Cyrtandra_giffardii,Y
Charpentiera_obovata,M
