,species,decimalLatitude,decimalLatitude,decimalLongitude,decimalLongitude
,,min,max,min,max
Genus,,,,,
Metrosideros,kermadecensis,20.7569,20.7569,-156.321,-156.321
Metrosideros,macropus,21.4133,21.6,-157.925278,-157.855
Metrosideros,polymorpha,-22.2175,22.228683,-159.67,-155.2
Metrosideros,polymorpha var. dieteri,22.0,22.198353,-160.0,-159.49
Metrosideros,polymorpha var. glaberrima,19.0833,22.218333,-160.0,-155.0
Metrosideros,polymorpha var. incana,19.0167,21.6,-158.161111,-154.85
Metrosideros,polymorpha var. macrophylla,-19.7084,20.9031,-156.592,-155.0
Metrosideros,polymorpha var. newellii,19.6833,20.1,-155.7,-155.05
Metrosideros,polymorpha var. polymorpha,19.15,22.166667,-159.666667,-154.867
Metrosideros,polymorpha var. pumila,20.0907,22.150833,-160.0,-155.693
Metrosideros,rugosa,21.05,21.6,-158.145,-15.0333
Metrosideros,tremuloides,21.21,21.502222,-158.156111,-157.49
Metrosideros,waialealae,21.96183,22.165752,-159.623056,-159.4913
Metrosideros,waialealae var. fauriei,20.972729,21.3456,-157.162,-156.619141
Metrosideros,waialealae var. waialealae,21.98,22.1525,-160.0,-159.492981
