species,s,i,e,g
arabidopsis 1,325.1570538,0.3535,2180.470603,2.535244213
arabidopsis 2,305.4541568,0.2872,1965.655206,2.195953609
arabidopsis 3,398.0698716,0.319,1933.721868,2.947560227
arabidopsis 4,329.7603491,0.2115,1265.399749,1.771271319
arabidopsis 5,271.0606105,0.2134,1657.717588,1.477497351
arabidopsis 6,348.4747525,0.261,1463.014343,2.174458987
arabidopsis 7,286.3440162,0.178833333,1568.773543,1.087661977
arabidopsis 8,311.2213485,0.2155,1601.810696,1.644966341
arabidopsis 9,346.0588,0.211,965.4728113,2.579886635
arabidopsis 10,274.7760506,0.228666667,1417.116952,1.569629818
arabidopsis 11,309.119413,0.1445,888.9475814,1.635844176
arabidopsis 12,245.4740863,0.158777778,1100.052162,1.248524043
arabidopsis 13,233.8905474,0.228333333,866.6557019,2.485099006
arabidopsis 14,233.9771221,0.181,798.7711489,1.979342184
arabidopsis 15,272.6026927,0.215583333,952.1460128,2.270583751
arabidopsis 16,266.4008117,0.188875,710.3867079,2.296724633
arabidopsis 17,291.4587468,0.18925,904.1639664,2.003274714
arabidopsis 18,300.1695413,0.2255,943.9277569,2.585490705
arabidopsis 19,267.6811381,0.193833333,876.5437667,2.028808055
arabidopsis 20,278.7676241,0.21825,1153.725829,1.961408217
arabidopsis 21,229.0110435,0.19875,758.5517432,2.204010154
arabidopsis 22,307.1328433,0.194833333,823.6483335,2.279477397
arabidopsis 23,322.0007944,0.221,1152.978098,2.060252071
arabidopsis 24,209.0023258,0.223,642.2540574,2.916426084
arabidopsis 25,294.1365224,0.238666667,935.6574127,2.69961224
arabidopsis 26,272.0717432,0.1835,1262.229687,1.521461727
arabidopsis 27,272.4474333,0.2136,1677.1935,2.00661001
arabidopsis 28,284.1349923,0.2232,2506.802746,1.407605295
arabidopsis 29,191.3476896,0.207,561.5956153,2.616499034
arabidopsis 30,232.4344863,0.302666667,1762.434987,2.225600785
arabidopsis 31,252.6762162,0.30175,2254.296471,1.91629317
arabidopsis 32,226.877944,0.337333333,1603.228584,3.359724861
arabidopsis 33,267.7847387,0.237,1242.771652,2.009160285
arabidopsis 34,300.0046438,0.2272,1253.140409,2.060705311
arabidopsis 35,342.2367457,0.1562,907.0353762,1.713544788
arabidopsis 36,300.8073104,0.2106,1132.927,1.945035657
arabidopsis 37,328.2290673,0.1614,533.9445276,2.708662529
arabidopsis 38,279.2195731,0.209666667,988.5869158,2.174303817
arabidopsis 39,320.749687,0.20775,1140.263943,1.945930411
arabidopsis 40,271.3333084,0.2592,1753.706754,1.862089247
arabidopsis 41,325.663067,0.231266667,1482.190479,1.532580445
arabidopsis 42,288.4163403,0.15,683.4990657,1.257713934
arabidopsis 43,245.3074915,0.1715,661.623833,1.341578509
arabidopsis 44,294.0822895,0.182166667,889.5299426,1.498818021
arabidopsis 45,239.1247258,0.2065,850.1915671,2.211326871
arabidopsis 46,248.4407106,0.18775,980.1227264,1.699060478
arabidopsis 47,256.54681,0.3698,590.7174404,3.760811609
arabidopsis 48,176.4349362,0.18725,1020.022453,1.23602443
arabidopsis 49,254.0552982,0.2005,1055.792144,1.859497626
arabidopsis 50,205.8297194,0.219,986.7274458,1.821971469
arabidopsis 51,320.0942521,0.2035,1105.864286,2.117964235
arabidopsis 52,206.6616852,0.2135,778.7116054,2.206818621
arabidopsis 53,230.1470657,0.247,818.72785,2.88041722
arabidopsis 54,236.9764215,0.21925,788.4108169,2.509048068
arabidopsis 55,253.4906457,0.19925,665.9465256,2.521184045
arabidopsis 56,258.8237905,0.23225,893.4164333,2.507867606
arabidopsis 57,294.073826,0.2495,1696.265275,1.781821765
arabidopsis 58,317.1801226,0.251142857,1463.111417,2.198742823
arabidopsis 59,248.4151477,0.24675,1596.715028,1.715310026
arabidopsis 60,182.3324924,0.22125,618.3866137,2.776450464
arabidopsis 61,159.098544,0.22,620.7892058,2.717109368
arabidopsis 62,181.2353453,0.22075,597.2742885,3.177779844
arabidopsis 63,302.070495,0.3075,924.4871203,2.377503138
arabidopsis 64,215.0220599,0.24125,833.4979616,1.725467359
arabidopsis 65,270.3123747,0.24,1609.669629,1.099768415
arabidopsis 66,237.7652716,0.22575,1381.726087,0.780719411
arabidopsis 67,243.4557643,0.2035,1503.973528,0.773237276
arabidopsis 68,94.6471314,0.20275,217.7473144,2.217588179
arabidopsis 69,280.2546517,0.2175,1136.756988,1.085670791
arabidopsis 70,273.3747763,0.304545455,2619.300776,0.980954921
arabidopsis 71,218.6665236,0.31275,281.8485952,3.507188022
arabidopsis 72,262.3107837,0.256833333,1796.259503,1.024144703
arabidopsis 73,232.1361606,0.20575,1681.219368,0.725586035
arabidopsis 74,203.3543754,0.224,1579.548672,0.802271586
arabidopsis 75,278.267974,0.237,2538.468374,0.778327574
arabidopsis 76,149.2099777,0.2045,645.3868596,1.223155573
arabidopsis 77,270.0073976,0.21775,707.554184,2.943056087
arabidopsis 78,208.5776437,0.239,1062.654671,2.143377179
arabidopsis 79,175.5480501,0.21325,468.5454173,3.344576256
arabidopsis 80,291.706637,0.294666667,2442.087937,1.867082308
arabidopsis 81,290.8534938,0.272875,2634.779324,1.498977907
arabidopsis 82,233.2510255,0.278666667,2590.687575,1.431725327
arabidopsis 83,226.4545775,0.2765,1094.421109,2.85733545
arabidopsis 84,242.85455,0.2652,1742.142013,1.870505695
arabidopsis 85,259.2185311,0.230666667,1036.891906,1.998133772
arabidopsis 86,170.0079389,0.183,727.2008172,1.76442895
arabidopsis 87,247.3622699,0.242,1744.677777,1.626340388
arabidopsis 88,278.2463503,0.2245,487.3029042,3.953952228
arabidopsis 89,295.3468644,0.2382,1333.78135,2.202718084
arabidopsis 90,330.4479083,0.246,1185.42591,2.418250863
arabidopsis 91,220.9521497,0.26375,1852.467876,1.635074656
arabidopsis 92,269.3683301,0.2265,771.5273163,2.710647115
arabidopsis 93,208.098248,0.195,1432.979492,1.162474732
arabidopsis 94,181.2690603,0.21625,528.5888766,3.122162764
arabidopsis 95,229.3103923,0.196615385,751.9277988,2.255321489
arabidopsis 96,213.8261145,0.179692308,613.0108168,2.310668956
arabidopsis 97,275.7687918,0.216375,1372.032336,1.66318532
arabidopsis 98,245.1229618,0.188333333,631.7178411,2.581984841
arabidopsis 99,181.3964337,0.1545,352.3690592,2.773932545
arabidopsis 100,280.6017328,0.161,1098.942401,1.249371497
arabidopsis 101,308.8964588,0.1914,701.8234924,2.473738463
arabidopsis 102,268.6614145,0.202181818,946.1493455,2.059257608
arabidopsis 103,305.6546813,0.24425,1895.931488,1.692055104
arabidopsis 104,192.4396078,0.208333333,916.6003258,1.801214723
arabidopsis 105,241.800138,0.2348,1240.356921,2.042766414
arabidopsis 106,274.8146273,0.20475,696.9816062,2.53549873
arabidopsis 107,289.7522517,0.22,626.0888576,3.171144712
arabidopsis 108,307.7360827,0.2115,1155.278147,1.855184261
arabidopsis 109,297.5427656,0.2895,1044.745766,3.096344941
arabidopsis 110,254.8939324,0.225,791.876532,2.610896002
arabidopsis 111,272.1710617,0.166181818,860.3685594,1.680204466
arabidopsis 112,297.8541776,0.2173,1838.025684,1.379937969
arabidopsis 113,304.4228316,0.2714,1796.17362,2.049743721
arabidopsis 114,275.8308441,0.264666667,2764.064215,1.319233815
