species,s,i,e,g
Abrus_precatorius,343.8741,0.079,140.6948728,3.55693099
Acacia_auriculiformis,346.062,0.116,27.54684945,9.41331223
Acacia_catechu,462.4437,0.16,132.5527966,5.642455493
Acacia_mangium,743.6845,0.188,75.36002355,9.021147707
Acalypha,264.5,0.33,1921.962687,1.755235461
Acalypha_ciliata,230.65,0.28335,1362.799275,1.765703756
Acalypha_indica,253.77,0.30075,1482.303879,1.961087946
Acalypha_lanceolata,314.88,0.1737,505.0420108,2.833777394
Acalypha_wilkesiana,550.6,0.2176,2332.499945,1.000236494
Acer_platanoides,230.5970869,0.15505339,570.3871538,2.087189303
Acer_pseudoplatanus,382.1149952,0.103467835,535.0904641,2.022750656
Adenanthera_pavonina,358.9486,0.158,150.0056658,5.142900711
Adonidia_merrillii,460.4625,0.09265,768.4841667,1.291652413
Aegialitis_rotundifolia,651,0.2459,936.2,3.278887001
Aegiceras_corniculatum,682.68,0.078,508,2.517878412
Aesculus_hippocastanum,265.7909431,0.111387963,400.8907395,2.007437865
Agapanthus,829.8738,0.133574033,2727,0.699537646
Albizia_saman,183.3757,0.25,124.2040969,8.889788357
Allium_cepa,1126.878225,0.422892521,13088,1.39990539
Alnus_alnobetula,457.53125,0.077548582,426,1.741005971
Alnus_glutinosa,541.2620362,0.108655348,877.1426629,1.748849613
Amorphophallus_bulbifer,1216.72445,0.194857025,3673,0.95683545
Amorphophallus_paeoniifolius,623.045,0.136808692,682,2.278594528
Anemone_patens,1283.2178,0.179433386,2635,1.208155278
Annona_glabra,470.2840059,0.160736456,609,3.174170842
Ansellia_africana,494.55125,0.062935508,1234,0.530020694
Antidesma_ghaesembilla,312.5,0.24,1134.868421,2.035055607
Aporosa_falcifera,780.52005,0.155172414,2159.177339,1.002173532
Aporosa_sarawakensis,153.8258,0.121794872,392.7785623,1.867845899
Arachis_hypogaea,516.812025,0.27,301.2754913,3.677906264
Arbutus_unedo,617.5065015,0.143416878,944.3990385,2.72139616
Areca_triandra,613.625,0.06555,874.911871,0.854657889
Artemisia_duthreuil-de-rhinsi,450,0.237,1754.222741,1.564448998
Artemisia_wellbyi,477.405,0.199,1884.937721,1.218362354
Artocarpus_altilis,264.5,0.19,915.3230453,1.755235461
Artocarpus_integer,220.5,0.1,136.998708,4.594138034
Artocarpus_lacucha,220.5,0.23,438.6993682,3.953095517
Asarum_caudatum,1182.9248,0.19001959,3277,1.020783893
Ascarina_lanceolata,1959.4,0.128,3211.988935,0.513768275
Ascarina_lucida,1231.433333,0.128,5585.766637,0.261123859
Astragalus_tanguticus,233.28,0.364,2699.789745,1.38739916
Avicennia_marina,73.8,0.086,585.5,1.176350206
Avicennia_officinalis,459.3116,0.1363,328.9240042,6.329873942
Baliospermum_solanifolium,364.5,0.18,975.3348968,1.785761295
Berberis_microphylla,471.55205,0.162765284,792,2.148319171
Berberis_montana,430.71125,0.211455883,932,2.389155283
Berberis_vulgaris,593.2715781,0.124120494,1006.528567,1.665593203
Betula_fruticosa,262.205,0.265,791.3215321,2.963645121
Betula_nana,566.2625,0.082,524.5,2.461868316
Betula_pendula,942.2234921,0.098362176,806.9007486,1.588682157
Betula_pubescens,629.63645,0.087165312,943,1.89699183
Bischofia_javanica,558.08,0.152,1217.946815,0.869309873
Blysmus_sinocompressus,655.22,0.103,616.4930521,1.910790024
Bouvardia_ternifolia,1261.52645,0.135188867,2498,0.926376391
Brassica_oleracea,316.75,0.28125,1627.569249,1.869111132
Brassica_rapa,220.5,0.257,968.730209,2.210261176
Breynia_cernua,425,0.0656,733.2657088,0.641514054
Breynia_vitis-idaea,308,0.1347,460.7748508,1.608213939
Bridelia_montana,144.5,0.19,439.024094,2.681185763
Bridelia_retusa,141.9725,0.23,549.4989693,2.023072628
Bruguiera_gymnorhiza,441.4172781,0.066,398,1.50027923
Buddleja_davidii,525.7071138,0.212560253,1086.164773,3.503393636
Butea_monosperma,526.5952,0.135,12.13344965,13.42624691
Buxus_sempervirens,826.7769794,0.088220215,637.0707418,1.615434326
Caesalpinia_bonduc,423.591,0.0944,76.59105661,6.643802607
Calathea_bachemiana,542.5218,0.092085434,2058,0.502760488
