species,s,i,e,g
Brachypodium_sylvaticum,43.4778125,0.08451488,574,1.46108969
Calamagrostis_epigejos,87.78125,0.135,2039.844301,0.904194946
Cleistogenes_squarrosa,89.78,0.226,2185.828078,1.588222463
Hordeum_vulgare,578.1733333,0.208,3017.946403,1.196063904
Koeleria_macrantha,132.845,0.157,720.2174792,3.658981533
Leymus_chinensis,157.015625,0.192,1262.477324,2.222992905
Leymus_secalinus,204.078125,0.131,1998.295484,2.054978309
Phragmites_australis,42.16023333,0.25332893,325.7701962,4.77459333
Poa_aitchisonii,282.03125,0.173,2373.44196,1.833980314
Psammochloa_villosa,43.71125,0.124,451.9113052,2.594195459
Stipa_inebrians,144.5,0.126,2038.66476,1.068512399
Stipa_sibirica,28.88,0.132,906.2292646,1.139626837
Stipa_splendens,89.055625,0.075,1341.294764,0.779116141
