species,s,alpha,g
Abarema_jupunba,392,1494.792453,4.71878519
Abelia_biflora,337.8533333,4473.872504,1.888135192
Abrus_precatorius,343.8741,1640.252884,3.55693099
Abrus_pulchellus,208.08,4400.214931,1.407622525
Abutilon,255,2748.003003,0.802435406
Acacia_auriculiformis,346.062,209.9259907,9.41331223
Acacia_berlandieri,180.5,2752.05132,2.831813083
Acacia_catechu,462.4437,695.9021821,5.642455493
Acacia_decipiens,609,5926.947712,1.201378647
Acacia_farnesiana,180.5,5992.339506,0.907608562
Acacia_greggii,220.5,7716.007937,0.897298701
Acacia_longifolia,242,9373.384615,0.72753238
Acacia_mangium,743.6845,325.4911656,9.021147707
Acacia_pennata,257.645,2692.207507,2.446931784
Acacia_podalyriifolia,557.8125,2657.621584,2.09210866
Acacia_rigidula,112.5,1400.359304,4.6564871
Acacia_rostellifera,214.1956,3304.106081,2.371573774
Acacia_tortilis,264.5,9539.421569,0.745975071
Acacia_truncata,852,9564.666667,0.953121505
Acalypha,264.5,3902.166667,1.755235461
Acalypha_ciliata,230.65,3285.437643,1.765703756
Acalypha_indica,253.77,3326.546742,1.961087946
Acalypha_lanceolata,314.88,2402.511304,2.833777394
Acalypha_wilkesiana,550.6,8166.381132,1.000236494
Acanthus_ilicifolius,447.72,3286.409948,1.765398442
Acer_amplum,262.35,32406.7124,0.158502768
Acer_barbinerve,217.3335333,6521.762545,1.018794541
Acer_buergerianum,192.4189815,1073.206019,5.33127242
Acer_campbellii,194.045,2127.756718,2.697971792
Acer_campestre,243.3218,2195.70259,2.875978742
Acer_caudatum,255.38,4969.280397,1.375455928
Acer_circinatum,417.605,1765.801114,3.291696296
Acer_cordatum,301.5337,25801.31151,0.227737749
Acer_coriaceifolium,123.245,1866.804751,2.508603508
Acer_davidii,154.88,1626.0639,3.14238024
Acer_fabri,105.4152,2727.76703,1.629627759
Acer_glabrum,262.205,3258.921761,1.64585059
Acer_griseum,53.045,1544.143947,2.050582446
Acer_hyrcanum,267.7298,2464.510637,2.693027243
Acer_mandshuricum,129.524525,2927.413293,1.694141136
Acer_monspessulanum,259.4642,1701.320114,3.694198287
Acer_negundo,174.2656562,2618.497044,2.013232991
Acer_oliverianum,102.245,2907.08392,1.510993811
Acer_pensylvanicum,113.765,2687.12882,1.161387008
Acer_pictum,217.4260508,3193.488408,1.953128392
Acer_platanoides,230.5970869,3176.027974,2.087189303
Acer_pseudoplatanus,382.1149952,4024.682599,2.022750656
Acer_pseudosieboldianum,99.405,3407.346963,1.287476658
Acer_pubipalmatum,335.71,1701.862843,3.18497493
Acer_rubrum,163.8397577,2616.103617,3.300347716
Acer_saccharinum,111.5960893,2498.53604,1.602610684
Acer_saccharum,78.275,2310.461088,1.792489003
Acer_spicatum,134.125,2241.425965,1.627403441
Acer_tataricum,134.48,1334.811801,3.549213294
Acer_tegmentosum,330.245,3739.75907,2.007865357
Acer_triflorum,107.1985,1845.73482,2.373534472
Achillea_arabica,533.5664445,26493.46058,0.384332653
Achillea_fragrantissima,222.605,5012.997094,1.281480876
Achillea_millefolium,623.6452445,24546.25156,0.446168266
Achyranthes_bidentata,160.205,3841.39564,1.422379858
Acokanthera_oppositifolia,247,1261.295626,3.503478042
Aconitum_ambiguum,551.12,7916.280508,1.246764099
Aconitum_carmichaeli,1171.28,10443.12186,1.325088301
Aconitum_coreanum,1940.956525,17657.28434,1.010886129
Aconitum_kusnezoffii,1030.3293,15328.03552,0.885490184
Aconitum_monanthum,800.8002,6723.088145,1.691340502
Aconitum_sinomontanum,1104.5,12519.4782,1.096958568
Aconitum_volubile,706.88,7760.520508,1.411997895
Acourtia_cordata,314.75405,4635.741,1.611566895
Acronychia_oligophlebia,302.58,8649.971477,0.873744765
Acronychia_pedunculata,144.9596,2853.210811,1.820521868
Actaea_asiatica,1271.758525,17814.18164,0.839870979
Actaea_cimicifuga,587.9425,9354.649183,0.8983435
Actaea_dahurica,535.9538,7500.693311,1.295388636
Actinidia_arguta,437.636225,11499.10014,0.788101915
Actinidia_kolomikta,218.405,6051.187476,1.059993691
Actinodaphne_lancifolia,220.5,3415.863636,1.836319708
Adenanthera_microsperma,149.645,3092.897153,1.696511388
Adenanthera_pavonina,358.9486,799.3972821,5.142900711
Adenanthos_cuneatus,318.8736,1414.228653,3.920125964
Adenium_obesum,600,5317.159763,1.427105022
Adenocaulon_himalaicum,428.37015,8349.380916,1.063578505
Adenophora_capillaris_subsp._paniculata,537.92,5993.758641,1.596780944
Adenophora_divaricata,542.1404,9396.95268,1.142639546
Adenophora_pereskiifolia,512,4801.496281,1.914987327
Adenophora_remotiflora,1038.31245,9156.406685,1.421346845
Adenophora_tetraphylla,356.445,8596.106477,0.948332733
Adenostoma_fasciculatum,621.642,2593.792084,2.03203237
Adina_dissimilis,380.9,5058.043704,1.650287008
Adina_pilulifera,226.845,3843.15907,1.664106307
Adinandra_acuminata,960.68,43742.04687,0.195883263
Adonidia_merrillii,460.4625,8410.715659,1.291652413
Adonis_aestivalis,1880.68445,34589.04567,0.534732674
Aegialitis_rotundifolia,651,2247.550725,3.278887001
Aegiceras_corniculatum,682.68,3810.588512,2.517878412
Aegiphila_costaricensis,84.5,5502.092179,0.7399335
Aegopodium_alpestre,585.8626333,8808.425277,1.174474673
Aegopodium_podagraria,612.5,11871.89451,0.899446798
Aeonium_decorum,180.1202,45902.82911,0.130964096
Aesculus_glabra,180.5,2711.84685,3.518124232
Aesculus_hippocastanum,265.7909431,3515.557004,2.007437865
Aesculus_turbinata,350.6944444,2394.84127,3.883589262
Agapanthus,829.8738,17688.64472,0.699537646
Agapetes_lacei,976.82,10637.58186,1.2101013
Agastachys_odorata,1800,19939.13043,0.877617731
Agave_americana,575,46677.48318,0.245802301
Agave_decipiens,630,27659.3434,0.398986969
Agave_deserti,328.7048,31217.03652,0.258448246
Agave_lechuguilla,2112.5,41365.76087,0.475376271
Agave_sisalana,940,37643.22401,0.357335955
Agave_vera-cruz,2100,40735.72499,0.481077262
Agave_x_leopoldii,1050,41730.74866,0.340610141
Ageratum_conyzoides,453.25,1351.804152,2.853623505
Aglaonema_modestum,1806.005,29541.95738,0.609623166
Agonandra_brasiliensis,435.125,3564.875,2.34508361
Agonis_flexuosa,149.1844,7369.612592,0.66750146
Agonis_hypericifolia,144.5415,3614.856996,1.39421655
Agrimonia_eupatoria,359.548928,3973.957746,1.96766352
Agrimonia_pilosa,367.9483333,4663.68492,1.765983099
Aidia_canthioides,505.62,2268.305104,3.645261559
Aidia_cochinchinensis,373.7178,24052.27145,0.195827441
Ailanthus_altissima,555,3865.336788,2.705137914
Ajuga_adulterina,378.125,4519.034647,1.785602307
Ajuga_chamaepitys,351.125,6142.381494,1.297665927
Ajuga_genevensis,433.0204082,6158.316692,1.419684902
Ajuga_orientalis,349.80125,4043.871861,1.91423054
Akebia_quinata,198.7225,4299.900936,1.472895344
Akebia_trifoliata,248.645,9545.674295,0.723980572
Alafia_microstylis,400,6496.551724,0.663891175
Alangium_chinense,385.1825,4587.809744,1.800978106
Alangium_kurzii,534.5514,42811.78583,0.174262331
Albertisia_crassa,810,6134.444444,1.047647575
Albertisia_exelliana,720,9381.010101,0.765688422
Albertisia_megacarpa,900,6093.006993,0.982101084
Albertisia_papuana,648,4159.692308,1.068032987
Albertisia_villosa,648,1883.64557,2.603544007
Albizia_julibrissin,200,3766.679889,1.603242246
Albizia_kalkora,225.3032667,14647.01736,0.538202426
Albizia_saman,183.3757,372.6122907,8.889788357
Albovia_tripartita,320.5512,6585.526148,1.165812131
Alcea_rosea,754,2400.574132,2.233974388
Alchemilla_erythropoda,306.5288,3710.342058,1.960013568
Alchemilla_fluminea,403.28,3288.391589,2.446197892
Alchemilla_persica,254.4768,3667.091827,1.829260609
Alchemilla_pseudocartalinica,331.01645,4053.986839,1.865804643
Alchemilla_sericata,389.48405,3935.775466,2.051842272
Alchornea_latifolia,206.045,8340.963547,0.755228215
Alexa_imperatricis,435.25,11945.70238,1.20672438
Allamanda_cathartica,450,999.2753623,4.683512669
Alliaria_petiolata,210.9458,5918.007375,1.065639825
Allium_ampeloprasum,404.895025,6234.613044,1.364761615
Allium_atroviolaceum,522.61445,6449.427661,1.474490605
Allium_cepa,1126.878225,10989.52389,1.39990539
Allium_rubellum,779.6115845,6754.480181,1.666554578
Allium_ursinum,992.25,16583.50758,0.875141148
Allophylus_camptostachys,264.5,10044.77835,0.709407666
Allophylus_cobbe,68.9138,1437.995379,2.477292715
Allophylus_racemosus,72,1420.537313,2.556538607
Alloplectus_ambiguus,512,17345.14286,0.56981557
Alloxylon_pinnatum,772.245,9431.836633,1.224658307
Alniphyllum_fortunei,357.90105,10797.35862,1.621028623
Alnus_acuminata,310.5032,4920.990391,1.514672174
Alnus_alnobetula,457.53125,5067.330628,1.741005971
Alnus_glutinosa,541.2620362,6247.225122,1.748849613
Alnus_hirsuta,356.445,3374.898284,2.27531936
Alnus_incana,139.25,3524.353796,1.593968264
Alnus_mandshurica,456.02,5074.953451,1.736207691
Alnus_serrulata,338,1719.613169,4.017962915
Alocasia_macrorrhizos,276.125,11126.38355,0.655335602
Alocasia_odora,338,14411.26254,0.560530629
Aloe_aristata,312.0002,66354.66647,0.119146146
Aloe_broomii,479.57045,39520.42955,0.246194032
Aloinopsis_schooneesii,122.46125,54522.34749,0.091067149
Aloysia_gratissima,180.5,3803.563745,2.084413736
Alphitonia_incana,270,1307.287066,1.527759903
Alpinia_hainanensis,343.22,6188.458641,1.275477461
Alpinia_japonica,521.645,11092.75686,0.884304796
Alpinia_oblongifolia,340.605,8875.984862,0.90046441
Alpinia_pumila,524.88,17925.3045,0.55839382
Alpinia_shimadae,340.605,7122.081567,1.112094294
Alstonia_rostrata,202.005,5496.000698,1.121681314
Alstonia_scholaris,326.812225,4116.171751,1.983132181
Alyssum_desertorum,346.63445,4922.069449,1.589071263
Alyssum_linifolium,241.1208,1871.704047,3.304951929
Alyssum_longistylum,245.5328,4496.050889,1.486081551
Alyssum_minutum,323.85125,3469.775457,2.133189804
Alyssum_sibiricum,237.3366845,3336.644731,1.938391293
Alyssum_strigosum,303.860552,4450.120907,1.648887335
Amaioua_guianensis,309.2125,5747.374591,1.392769799
Amaranthus_blitum,340.605,5290.025631,1.4739399
Amaranthus_caudatus,295,4517.895797,0.983059328
Amaranthus_cruentus,3103.768025,33152.6872,0.85369613
Amaranthus_graecizans,259.92,9156.275857,0.769937851
Amaranthus_hybridus,333.8604167,4895.29608,1.386573625
Amaranthus_retroflexus,353.86,4252.553214,2.046779436
Amaranthus_speciosus,336,6420.756757,0.820993361
Amaryllis_odoratissima,1800,38200,0.274635444
Amborella_trichopoda,883.72,4268.066655,0.899063961
Ambrosia_deltoidea,49.90005,2222.827223,1.397701629
Amesiodendron_chinense,73.205,2088.489769,1.779865994
Ammi_majus,380.88,4111.482983,1.953577068
Amomum_villosum,605.52,12449.31029,0.847626099
Amorphophallus_bulbifer,1216.72445,15176.71817,0.95683545
Amorphophallus_paeoniifolius,623.045,4303.063374,2.278594528
Ampelopsis_grossedentata,429.245,10768.96329,0.831984788
