species,s,alpha,g
Aegilops_kotschyi,193.1595125,8017.021111,2.149576675
Aegilops_tauschii,186.05205,12853.45766,1.328322625
Agropyron_cristatum,196.461025,526662.1694,0.446519299
Agrostis_canina,155.05605,15421.26794,1.015142449
Alopecurus_apiatus,233.92845,12898.04791,1.478968866
Alopecurus_arundinaceus,371.6901125,25944.09936,0.930297177
Arrhenatherum_elatius,645.2200563,49980.20253,0.342698517
Arthrostylidium_sarmentosum,91.125,4786.92378,2.484964759
Arundinella_hirta,255.38,13368.5982,1.489488325
Arundo_donax,153.125,3173.554973,4.723453338
Avena_barbata,336.3121125,16330.35455,1.397237095
Avena_eriantha,324.4878125,19081.68335,1.178709923
Avena_fatua,435.125,21936.23965,1.184028466
Avena_sativa,1513.94875,26073.29775,0.96676686
Bothriochloa_ischaemum,94.0506125,9748.469073,1.251186715
Brachiaria_reptans,77.50125,8772.056272,1.263224091
Brachypodium_sylvaticum,43.4778125,2821.8517,1.46108969
Briza_media,172.1440125,29794.89225,0.555967967
Bromus_catharticus,426.32,27982.77091,0.922907381
Bromus_inermis,273.9460677,57342.40829,0.513352677
Bromus_japoicus,297.1922,14865.81007,1.443713793
Bromus_ramosus,294.2738,99605.8261,0.218050697
Bromus_scoparius,210.33005,16880.76549,1.077527501
Bromus_sterilis,249.4261125,22339.23438,0.887826458
Bromus_tectorum,183.6486125,14357.57576,1.183424218
Bromus_tomentellus,308.6370125,24123.31999,0.913089503
Bromus_variegatus,280.4896125,45866.25704,0.460855638
Calamagrostis_eminens,59.405,6210.187476,1.561060698
Calamagrostis_epigejos,87.78125,13070.11349,0.904194946
Catabrosa_aquatica,133.00805,7203.749103,1.996100583
Chloris_gayana,42.32,1617.431037,4.977112794
Chloris_radiata,45.125,4087.106405,2.064294121
Chloris_virgata,55.125,4895.37005,1.904466216
Chrysopogon_gryllus,119.8152,6618.729274,2.062706617
Chusquea_magnifolia,78.125,20755.20833,0.538745747
Cleistogenes_squarrosa,89.78,7485.977576,1.588222463
Coix_lacryma-jobi,340.605,9425.02,2.399789056
