species,s,alpha,g
Abies_alba,4147.694286,10618.86635,1.437592678
Abies_balsamea,1457,2928.964912,3.031147465
Abies_bracteata,1749,10446.12195,1.261562619
Abies_fabri,1089.97805,7280.324118,1.773695419
Abies_fraseri,760.5,7052,1.587343374
Abies_holophylla,3001.5752,3716.146149,3.667447735
Abies_nephrolepis,1255.851925,6461.924231,2.042651182
Abies_nordmanniana,3809.495,8353.789146,1.584162173
Abies_sibirica,924.5,31333.56452,0.423863926
Agathis_australis,737.36,8713.402585,1.307396037
Araucaria_araucana,1690.918971,17627.26285,0.929059248
Araucaria_bidwillii,1479,16378.14286,0.862115205
Cedrus_deodara,1178,10586.70588,1.165156493
Cedrus_libani,1481,19352.33333,0.842963865
Cephalotaxus_harringtonii,1682,18318,0.922134572
Chamaecyparis_obtusa,420.5,1684.763158,4.380139217
Cryptomeria_japonica,1300.5,3699.5,3.243369874
Cunninghamia_lanceolata,993.8825,4930.039507,2.552231602
Cycas_revoluta,1401.3025,18671.02223,0.825610931
Dioon_merolae,612.5,14493.24018,0.736753725
Ephedra_equisetina,1576.9728,9057.930954,1.679151346
Ephedra_glauca,1422.5778,5667.106709,2.392337283
Ephedra_intermedia,1616.5298,7836.15949,1.912704058
Ephedra_przewalskii,747.2978,5120.213788,2.095097316
Ephedra_rhytidosperma,1589.3522,6918.389845,2.107206342
Ephedra_sinica,1581.4688,9762.83069,1.576390959
Ginkgo_biloba,1222.125,9338.689951,2.569874003
Juniperus_sabina_var._davurica,253.125,4225.15534,1.597598146
Larix_decidua,1092,61408,0.182239103
Larix_gmelinii,1391.20895,8654.363314,1.610799552
Larix_gmelinii_var._principis-rupprechtii,699.38,7768.020508,1.404487268
Larix_sibirica,760.5,22495.31395,0.533248165
Lepidozamia_hopei,2383.88,26565.66508,0.731030131
Lepidozamia_peroffskyana,2201.34,26152.01335,0.737487193
Macrozamia_miquelii,1635.92,14364.08,1.136769343
Metasequoia_glyptostroboides,2308.218656,3644.162297,3.629602452
Nageia_nagi,439.6933333,7533.651201,1.257982343
Picea_abies,1399.4725,15884.47812,0.872200846
Picea_jezoensis,1043.987425,7836.645935,1.766058555
Picea_koraiensis,1008.3554,8216.709397,1.546703218
Picea_pungens,2205,23436.02564,0.143801425
Pinus_armandii,1590.48,4437.247547,2.975238579
Pinus_contorta_var._murrayana,1568,6835.361345,2.119001651
Pinus_densiflora,3042,16958,1.240112011
Pinus_elliottii,828.245,11219.94777,0.537079793
Pinus_koraiensis,1310.222883,6129.352886,2.230522916
Pinus_massoniana,658.845,9790.475794,1.104625004
Pinus_nigra,2052,10990.00542,1.154679988
Pinus_palustris,3080,13049.03226,0.627268741
Pinus_pinaster_subsp._escarena,782,13302.50704,0.674936422
Pinus_pumila,1512.5,8936.820794,1.673674248
Pinus_roxburghii,1026.145963,23471.48901,0.1368234
Pinus_sylvestris,1178.605,9726.357335,1.340699468
Pinus_tabuliformis,736.17,14767.18363,0.877167263
Pinus_taeda,2231.12,6697.451429,1.189490003
Pinus_uncinata,902,14249.51515,0.836634424
Podocarpus_latifolius,695.0625,6618.430769,1.142820531
Podocarpus_macrophyllus,619.04,9486.416213,1.161228168
Podocarpus_milanjianus,144.5,6349.006494,0.832464934
Podocarpus_neriifolius,486.72,6179.946667,1.488134413
Pseudotsuga_menziesii,1518.08875,6657.610438,1.669198092
Sequoia_sempervirens,3295.472578,8229.350117,2.239937513
Taxodium_distichum,839.5619768,5215.557377,1.895904946
Taxus_baccata,1440,4584.096386,2.040211405
Taxus_wallichiana,662.48,6800.206567,1.550966755
Zamia_integrifolia,924.5,12830.65818,0.994029271
