species,s,f,g
Abarema_jupunba,392,20.776,4.71878519
Abelia_biflora,337.8533333,7.509435267,1.888135192
Abrus_precatorius,343.8741,17.33125464,3.55693099
Abrus_pulchellus,208.08,4.515336,1.407622525
Abutilon,255,8.4915,0.802435406
Acacia_auriculiformis,346.062,62.24271132,9.41331223
Acacia_berlandieri,180.5,6.15505,2.831813083
Acacia_catechu,462.4437,39.92276462,5.642455493
Acacia_decipiens,609,9.3177,1.201378647
Acacia_farnesiana,180.5,2.9241,0.907608562
Acacia_greggii,220.5,2.7783,0.897298701
Acacia_longifolia,242,2.5168,0.72753238
Acacia_mangium,743.6845,69.55681129,9.021147707
Acacia_pennata,257.645,8.7341655,2.446931784
Acacia_podalyriifolia,557.8125,17.34796875,2.09210866
Acacia_rigidula,112.5,7.43625,4.6564871
Acacia_rostellifera,214.1956,6.291754852,2.371573774
Acacia_tortilis,264.5,2.6979,0.745975071
Acacia_truncata,852,8.1792,0.953121505
Acalypha,264.5,6.348,1.755235461
Acalypha_ciliata,230.65,6.50833,1.765703756
Acalypha_indica,253.77,7.9154,1.961087946
Acalypha_lanceolata,314.88,11.587584,2.833777394
Acalypha_wilkesiana,550.6,6.455,1.000236494
Acanthus_ilicifolius,447.72,11.9899416,1.765398442
Acer_amplum,262.35,0.80305335,0.158502768
Acer_barbinerve,217.3335333,3.386411858,1.018794541
Acer_buergerianum,192.4189815,15.20347508,5.33127242
Acer_campbellii,194.045,8.35751815,2.697971792
Acer_campestre,243.3218,9.9761938,2.875978742
Acer_caudatum,255.38,4.8879732,1.375455928
Acer_circinatum,417.605,19.126309,3.291696296
Acer_cordatum,301.5337,1.155175605,0.227737749
Acer_coriaceifolium,123.245,6.19306125,2.508603508
Acer_davidii,154.88,8.696512,3.14238024
Acer_fabri,105.4152,3.720734899,1.629627759
Acer_glabrum,262.205,7.446622,1.64585059
Acer_griseum,53.045,3.32114745,2.050582446
Acer_hyrcanum,267.7298,9.79891068,2.693027243
Acer_mandshuricum,129.524525,4.287744849,1.694141136
Acer_monspessulanum,259.4642,13.2326742,3.694198287
Acer_negundo,174.2656562,6.521140752,2.013232991
Acer_oliverianum,102.245,3.39760135,1.510993811
Acer_pensylvanicum,113.765,4.46826175,1.161387008
Acer_pictum,217.4260508,6.987167864,1.953128392
Acer_platanoides,230.5970869,9.735795483,2.087189303
Acer_pseudoplatanus,382.1149952,10.06195466,2.022750656
Acer_pseudosieboldianum,99.405,2.85451398,1.287476658
Acer_pubipalmatum,335.71,16.47597538,3.18497493
Acer_rubrum,163.8397577,8.042639114,3.300347716
Acer_saccharinum,111.5960893,4.359222707,1.602610684
Acer_saccharum,78.275,3.99839488,1.792489003
Acer_spicatum,134.125,5.542475,1.627403441
Acer_tataricum,134.48,9.1527088,3.549213294
Acer_tegmentosum,330.245,8.11411965,2.007865357
Acer_triflorum,107.1985,5.447862774,2.373534472
Achillea_arabica,533.5664445,1.974195845,0.384332653
Achillea_fragrantissima,222.605,4.2517555,1.281480876
Achillea_millefolium,623.6452445,2.477742556,0.446168266
Achyranthes_bidentata,160.205,4.00352295,1.422379858
Acokanthera_oppositifolia,247,16.3761,3.503478042
Aconitum_ambiguum,551.12,6.5087272,1.246764099
Aconitum_carmichaeli,1171.28,10.0847208,1.325088301
Aconitum_coreanum,1940.956525,9.903731448,1.010886129
Aconitum_kusnezoffii,1030.3293,6.318389827,0.885490184
Aconitum_monanthum,800.8002,10.64343546,1.691340502
Aconitum_sinomontanum,1104.5,8.10703,1.096958568
Aconitum_volubile,706.88,8.3482528,1.411997895
Acourtia_cordata,314.75405,6.35803181,1.611566895
Acronychia_oligophlebia,302.58,3.3798186,0.873744765
Acronychia_pedunculata,144.9596,4.855841883,1.820521868
Actaea_asiatica,1271.758525,6.632815712,0.839870979
Actaea_cimicifuga,587.9425,5.1015959,0.8983435
Actaea_dahurica,535.9538,6.668873133,1.295388636
Actinidia_arguta,437.636225,3.666298584,0.788101915
Actinidia_kolomikta,218.405,3.48355975,1.059993691
Actinodaphne_lancifolia,220.5,6.06375,1.836319708
Adenanthera_microsperma,149.645,4.6150518,1.696511388
Adenanthera_pavonina,358.9486,30.98803264,5.142900711
Adenanthos_cuneatus,318.8736,18.39900672,3.920125964
Adenium_obesum,600,10.14,1.427105022
Adenocaulon_himalaicum,428.37015,4.953944494,1.063578505
Adenophora_capillaris_subsp._paniculata,537.92,8.2355552,1.596780944
Adenophora_divaricata,542.1404,5.508876784,1.142639546
Adenophora_pereskiifolia,512,9.63584,1.914987327
Adenophora_remotiflora,1038.31245,10.18480682,1.421346845
Adenophora_tetraphylla,356.445,3.98149065,0.948332733
Adenostoma_fasciculatum,621.642,19.3330662,2.03203237
Adina_dissimilis,380.9,7.1545725,1.650287008
Adina_pilulifera,226.845,5.57358165,1.664106307
Adinandra_acuminata,960.68,2.14904116,0.195883263
Adonidia_merrillii,460.4625,6.442301912,1.291652413
Adonis_aestivalis,1880.68445,5.156836762,0.534732674
Aegialitis_rotundifolia,651,22.4595,3.278887001
Aegiceras_corniculatum,682.68,16.005948,2.517878412
Aegiphila_costaricensis,84.5,1.51255,0.7399335
Aegopodium_alpestre,585.8626333,6.28479042,1.174474673
Aegopodium_podagraria,612.5,4.906125,0.899446798
Aeonium_decorum,180.1202,0.390860834,0.130964096
Aesculus_glabra,180.5,6.240607,3.518124232
Aesculus_hippocastanum,265.7909431,7.191725596,2.007437865
Aesculus_turbinata,350.6944444,12.77326107,3.883589262
Agapanthus,829.8738,4.48131852,0.699537646
Agapetes_lacei,976.82,8.4104202,1.2101013
Agastachys_odorata,1800,8.28,0.877617731
Agave_americana,575,1.2936325,0.245802301
Agave_decipiens,630,2.226987,0.398986969
Agave_deserti,328.7048,1.041994216,0.258448246
Agave_lechuguilla,2112.5,4.85875,0.475376271
