species,s,f,g
Acrostichum_sinense,874.4562,3.977901254,0.604917672
Adenophora_triphylla,840.5,4.2025,0.651853749
Adiantum_capillus-veneris,725.805,5.0951511,0.850468817
Adiantum_pedatum,416.670725,2.534530891,0.557657925
Adiantum_pulverulentum,288,2.5344,0.67156835
Allantodia_dilatata,626.58,7.1179488,1.278727191
Allantodia_megaphylla,628.35125,4.852128353,0.870447021
Alsophila_podophylla,574.605,7.3319598,1.375455928
Angiopteris_cartilagidens,1728,23.5008,2.178313313
Angiopteris_evecta,2688,26.88,2.943636446
Angiopteris_fokiensis,1076.48,14.7693056,2.024269813
Angiopteris_hokouensis,988.3458,7.193180732,1.028911014
Angiopteris_palmiformis,1288,17.0016,1.78022028
Angiopteris_pruinosa,1344,14.5152,1.548034779
Angiopteris_yunnanensis,730.3842,9.962440488,1.657682527
Anisocampium_niponicum,1221.1682,22.95307749,2.953687086
Arachniodes_aristata,1295.405,12.81155545,1.600701606
Asplenium_antrophyoides,2037.7728,3.655764403,0.364176254
Asplenium_cuspidatum,2215.4,9.08314,0.312076989
Asplenium_finlaysonianum,2197.845,4.7913021,0.459585511
Asplenium_nidus,1146.92,2.945432,0.390857868
Asplenium_scolopendrium,2617,10.7903,0.790418293
Athyriopsis_tomitaroana,1280.18,6.9385756,0.872059485
Athyrium_melanolepis,1237.0338,10.14738826,1.297402705
Athyrium_multidentatum,1059.588613,6.935783743,0.955667384
Athyrium_sinense,782.10125,4.491607479,0.722240122
Athyrium_spinulosum,1180.98,7.5346524,0.985946284
Blechnum_arcuatum,1512.5,4.235,0.489685256
Blechnum_asplenioides,1568,2.0384,0.231487575
Blechnum_australe,1381.25,3.2625,0.397471798
Blechnum_glandulosum,1629,3.1338,0.351047092
Blechnum_gracile,1682,2.6912,0.295083063
Blechnum_laevigatum,1458,3.4992,0.41209876
Blechnum_lanceola,1250,2.5,0.317977439
Blechnum_meridense,2812.5,5.0625,0.429269542
Blechnum_occidentale,756.25,1.939025,0.313048788
Blechnum_orientale,640.82,10.4261414,1.852110468
Blechnum_polypodioides,2450,4.9,0.445168414
Bolbitis_heteroclita,1130.50125,3.451420316,0.461608325
Christensenia_assamica,709.51445,9.706157676,1.638619144
