"","Species 1","Species 2","Species with highest g","High g i-value","High g e-value","High g s-value","Low g s-value","Low g i-value","Low g e-value","Does the species with the highest g have the highest s?","Does the species with the highest g have the highest i?","Does the species with the highest g have the highest e?","g for high g species divded by g for low g species","s for high g species divded by s for low g species","i for high g species divded by i for low g species","e for high g species divded by e for low g species","Number of species with high g and high s","Number of species with high g and high i","Number of species with high g and high e","Average g for g high divided by g for g low","Average s for g high divided by s for g low","Average i for g high divided by i for g low","Average e for g high divided by e for g low","Standard Error for average g","Standard Error for average s","Standard Error for average i","Standard Error for average e","e for Species with highest g","s for Species with highest g","i for Species with highest g","e for Species with lowest g","s for Species with lowest g","i for Species with lowest g","Change in g due to high i divided by low g","Change in g due to high s divided low g","Change in g due to high e divided by low g","Change in g due to high ie divided by low g","High ies","Low ies","High ies divided by Low ies","Change in g due to high i/low g","Change in g due to high s/low g","Change in g due to high e/low g","Change in g due to high ie/low g"
"1","Agathis_australis","Araucaria_araucana","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","0","1","1","1.40722568535263","0.436070570291094","2.17333332387531","1.24115564314235","52","84","30","3.10745657660719","1.44775148055868","1.63427393488831","0.914167745263674","0.367558603579281","0.128706165507532","0.0685768079821244","0.0368126897495418","1287.455784","737.36","0.144","1037.304057","1690.918971","0.066257669","2.35347489522821","0.795211225296595","0.93229047823097","1.97894580754018","1.4553238704186","1.133807805664","1.28357192740114","2.07572648862646","0.701363336293922","0.822265002563626","1.74539793927528"
"2","Agathis_australis","Cycas_revoluta","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","0","1","1","1.58354981494304","0.526196163926062","3.06382978723404","1.51375480732878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","850.5048359","1401.3025","0.047","2.60699978842587","0.67904119241507","0.611986090050322","1.85914046634828","1.4553238704186","0.902768794635492","1.6120670974302","2.88778234683942","0.752176190016896","0.677899029836783","2.05937608543386"
"3","Agathis_australis","Dioon_merolae","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","1","1","1","1.77453603916288","1.20385306122449","2.11764705882353","1.21751363264208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","1057.446709","612.5","0.068","1.61329534568306","0.801740952964675","0.609545274146855","1.34643134453477","1.4553238704186","0.736753714752441","1.97531935201386","2.18973493228352","1.08820754739468","0.827339261331951","1.82751890838744"
"4","Agathis_australis","Ginkgo_biloba","Ginkgo_biloba","1222.125","0.124","1675.960974","1222.125","0.124","1675.960974","1","0","1","1.96564310298579","1.65743327546924","0.861111111111111","1.30176196715118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1675.960974","1222.125","0.124","1287.455784","737.36","0.144","1.2418872748027","1.77126845528205","1.14121276835152","0.970882467063792","1.20353896033045","1.4553238704186","0.826990462256535","0.853340826771085","1.21709572094944","0.784164124253159","0.667124677055242"
"5","Agathis_australis","Lepidozamia_hopei","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","0","1","0","1.78842975351997","0.309310871352585","3.1304347826087","0.925078569243936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","1391.725878","2383.88","0.046","2.06025939627911","0.412526056860537","0.754901861430363","2.18748811380806","1.4553238704186","0.702658443722417","2.07116826591999","2.93209227710215","0.58709328913082","1.07435108504664","3.11315993332348"
"6","Agathis_australis","Lepidozamia_peroffskyana","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","0","1","0","1.77277117407515","0.334959615506918","3.1304347826087","0.971100649696114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","1325.769666","2201.34","0.046","2.09264262673262","0.432512967996767","0.730005549179297","2.1410070181558","1.4553238704186","0.710472708806722","2.04838813986662","2.94542295684703","0.608767884586582","1.02749273846899","3.01349649552582"
"7","Agathis_australis","Macrozamia_miquelii","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","0","1","1","1.15009790249067","0.450731087094723","1.77777777777778","1.01691581163259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","1266.039695","1635.92","0.081","1.98522826396659","0.808598114613119","1.11976430195099","1.95802087450962","1.4553238704186","1.13676932758888","1.28022795399079","1.74637740110152","0.711312396445618","0.985040917954783","1.72244344300056"
"8","Agathis_australis","Metasequoia_glyptostroboides","Metasequoia_glyptostroboides","2308.218656","0.135582822","571.5825887","2308.218656","0.135582822","571.5825887","1","0","0","2.77620732301485","3.13038225018987","0.941547375","0.443962888515012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"571.5825887","2308.218656","0.135582822","1287.455784","737.36","0.144","1.36502528710407","2.16884327407698","2.95301035562306","2.78692999278299","3.6296024003451","1.4553238704186","2.49401694984987","0.937952929138342","1.49028221014004","2.02910871981622","1.91498954248677"
"9","Agathis_australis","Nageia_nagi","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","1","1","1","1.03928011730448","1.67698699106021","1.54838709677419","1.43863538765038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","894.9145802","439.6933333","0.093","1.63720936737712","1.29009614644847","0.725573832001023","1.16515021354996","1.4553238704186","1.02857165977714","1.41489788930595","1.59173097159983","1.25425986044375","0.70541884476793","1.13278467520913"
"10","Agathis_australis","Pinus_roxburghii","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","0","1","0","9.55535410609589","0.718572236881665","1.88765812413974","0.757036564156105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","1700.652049","1026.145963","0.076285","1.2936092749488","0.57247697535878","0.866961065858489","1.6596954353802","1.4553238704186","0.666319296653706","2.18412385432527","1.94142550192585","0.859163134301816","1.30111955366206","2.49084101828551"
