"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",1,2,2,0,0,1.0775908510737,0.961168781237985,0.907671949020845,2335,683,2.90903009667128,1.11300176576583,0.53033346907888,0.0355434456851411,0.0145583508701569,0.00591114902954887,840.5,19159.5,874.4562,21108.39717,0.663763870014141,0.593974025299371,0.651853740147343,0.604917663561971,1.09727969605923,0.981908879634692
"2",1,3,3,0,0,1.40592489914892,0.830007266230144,0.640465931217837,NA,NA,NA,NA,NA,NA,NA,NA,725.805,13519.20925,874.4562,21108.39717,0.923865873164768,0.5548606791028,0.850468804811061,0.604917663561971,1.52725887970392,0.917249920981944
"3",1,4,1,1,1,1.08474684009915,2.09867443891096,1.34041083246996,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,416.670725,15747.70709,0.426445231651048,0.80000515378199,0.604917663561971,0.567869835130293,0.750955950236737,1.40878261934522
"4",1,5,5,0,0,1.11018140332987,0.329347541935205,0.524702859757684,NA,NA,NA,NA,NA,NA,NA,NA,288,11075.63636,874.4562,21108.39717,1.11277935566097,0.356670254370549,0.671568341283774,0.604917663561971,1.8395550711952,0.589617853561007
"5",1,6,6,0,0,2.1138863190626,0.71653674592278,0.387345227359108,NA,NA,NA,NA,NA,NA,NA,NA,626.58,8176.236901,874.4562,21108.39717,1.46925944241072,0.517893397507758,1.27872717312184,0.604917663561971,2.42885855532668,0.856138659364345
"6",1,7,7,0,0,1.43895121814196,0.718562290484075,0.583732701292544,NA,NA,NA,NA,NA,NA,NA,NA,628.35125,12321.6617,874.4562,21108.39717,1.00770669069316,0.518582624467609,0.870447009324092,0.604917663561971,1.66585760574328,0.857278032540842
"7",1,8,8,0,0,2.27379028860641,0.657099806714161,0.344051968394908,NA,NA,NA,NA,NA,NA,NA,NA,574.605,7262.385596,874.4562,21108.39717,1.63427244038871,0.497137570502652,1.37545590848346,0.604917663561971,2.70164443664206,0.821826837681228
"8",1,9,9,1,0,3.60100789550086,1.97608525161123,0.266478839236281,NA,NA,NA,NA,NA,NA,NA,NA,1728,5624.941176,874.4562,21108.39717,2.04600758035045,0.81856953993837,2.54227236120307,0.604917663561971,3.38229101842195,1.35319166433055
"9",1,10,10,1,0,4.86617697292203,3.07391039139525,0.346402426537249,NA,NA,NA,NA,NA,NA,NA,NA,2688,7312,874.4562,21108.39717,1.62436785516617,0.979748758559028,2.33144905854851,0.604917663561971,2.68527099308245,1.61963985774513
"10",1,11,11,1,0,3.34635588725204,1.23102792341114,0.294297557885112,NA,NA,NA,NA,NA,NA,NA,NA,1076.48,6212.149738,874.4562,21108.39717,1.87647181391869,0.665054524966082,2.0242697843194,0.604917663561971,3.10202846924547,1.09941330039861
"11",1,12,12,1,0,1.7009108208034,1.13024048545828,0.604105208334963,NA,NA,NA,NA,NA,NA,NA,NA,988.3458,12751.69267,874.4562,21108.39717,0.975904228397425,0.639790069719125,1.02891100022822,0.604917663561971,1.61328439750123,1.05764818628673
"12",1,13,13,1,0,2.94291332920424,1.47291539587689,0.297879442259898,NA,NA,NA,NA,NA,NA,NA,NA,1288,6287.757576,874.4562,21108.39717,1.85666285800707,0.720594709866189,2.13031174227269,0.604917663561971,3.0692819367753,1.19122775424191
"13",1,14,14,1,0,2.55908341027934,1.53695519569762,0.374981539112285,NA,NA,NA,NA,NA,NA,NA,NA,1344,7915.259259,874.4562,21108.39717,1.51288359231127,0.734257205058448,1.78047011448375,0.604917663561971,2.50097440270279,1.21381346468688
"14",1,15,15,0,0,2.74034402321115,0.835243892146914,0.312718869454549,NA,NA,NA,NA,NA,NA,NA,NA,730.3842,6600.994099,874.4562,21108.39717,1.77886492012189,0.556491561040808,1.65768250391306,0.604917663561971,2.94067280106734,0.919945960519631
"15",1,16,16,1,0,4.88279186196432,1.39648869777583,0.194193461397713,NA,NA,NA,NA,NA,NA,NA,NA,1221.1682,4099.112711,874.4562,21108.39717,2.67369700449815,0.70375058979772,2.9536870443389,0.604917663561971,4.41993541526704,1.1633824439078
"16",1,17,17,1,0,2.64614786456429,1.48138351583533,0.417645091050748,NA,NA,NA,NA,NA,NA,NA,NA,1295.405,8815.818458,874.4562,21108.39717,1.37228476677155,0.722424313466753,1.60070158363492,0.604917663561971,2.26854801807414,1.19425230404558
"17",1,18,1,0,0,1.66105742852745,0.429123501893832,0.393053764844691,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,2037.7728,53703.58729,0.877021097952774,0.243647728072962,0.604917663561971,0.36417624843949,2.40823255693045,0.669037942801053
"18",1,19,1,0,0,1.93836038324505,0.394717071409226,0.951907362468513,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,2215.4,22174.8439,0.907482206129887,0.576929288148138,0.604917663561971,0.867803167444243,1.04572354673757,0.66481583588505
"19",1,20,1,0,0,1.3162244185718,0.397869822485207,0.483320398753084,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,2197.845,43673.71463,0.904560406387802,0.298504204577816,0.604917663561971,0.459585504803289,1.96820917312214,0.649507439764839
"20",1,21,1,0,0,1.5476666111273,0.762438705402295,0.559818951348567,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1146.92,37705.75669,0.684296113718024,0.344679702440227,0.604917663561971,0.391973690011241,1.74577052275728,0.879343974414054
"21",1,22,22,1,1,1.30665432601215,2.99271707376539,2.17248026463963,NA,NA,NA,NA,NA,NA,NA,NA,2617,45857.57627,874.4562,21108.39717,0.284554631933512,0.96961576581395,0.47456875162964,0.604917663561971,0.470402253189225,1.60288882970371
"22",1,23,23,1,0,1.44161681062609,1.46397269525907,0.813420571998835,NA,NA,NA,NA,NA,NA,NA,NA,1280.18,17170.0045,874.4562,21108.39717,0.736947283717147,0.718654787629889,0.872059472979348,0.604917663561971,1.21826048090204,1.18802083476649
"23",1,24,24,1,0,2.14475913839727,1.41463208791933,0.51892278043582,NA,NA,NA,NA,NA,NA,NA,NA,1237.0338,10953.62815,874.4562,21108.39717,1.12425781770873,0.707804543991486,1.29740268763782,0.604917663561971,1.85853031814065,1.1700841066926
"24",1,25,25,1,0,1.57983049303278,1.21171147622946,0.675420498069016,NA,NA,NA,NA,NA,NA,NA,NA,1059.588613,14257.04413,874.4562,21108.39717,0.878816773551615,0.660318865667258,0.955689117312568,0.604917663561971,1.45278742296403,1.0915846989474
"25",1,26,26,0,0,1.1939477972467,0.894385848027609,0.78785711658087,NA,NA,NA,NA,NA,NA,NA,NA,782.10125,16630.40093,874.4562,21108.39717,0.759664372022544,0.574496170988986,0.722240111922298,0.604917663561971,1.25581449804155,0.949709697029093
"26",1,27,27,1,0,1.62988507302197,1.35053076414805,0.686598848471449,NA,NA,NA,NA,NA,NA,NA,NA,1180.98,14493.00119,874.4562,21108.39717,0.865323128057543,0.693321450175151,0.985946270808642,0.604917663561971,1.43048084091678,1.14614185026872
"27",1,28,1,0,0,1.23531934970082,0.578152859504132,0.617172370734674,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1512.5,34201.78571,0.773124016725367,0.379111774092728,0.604917663561971,0.489685248754815,1.57881826886002,0.774194801776741
"28",1,29,1,0,0,2.61317555380672,0.557688903061224,0.280119111183571,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1568,75355.07692,0.785254208714325,0.174444414844736,0.604917663561971,0.231487572120121,3.39220892734082,0.753580044263521
"29",1,30,1,0,0,1.52191344151667,0.633090461538461,0.508931712241866,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1381.25,41475.89286,0.743130013591512,0.313995435555114,0.604917663561971,0.389963742139912,1.90563873839556,0.80519135915579
"30",1,31,1,0,0,1.7231809799467,0.536805524861878,0.417904999560797,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1629,50510.03743,0.79823559995638,0.25879045135208,0.604917663561971,0.348103853965634,2.29309612882133,0.743428860105723
"31",1,32,1,0,0,2.04999116469114,0.519890725326992,0.347074832615344,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1682,60818,0.809230793438451,0.215550119384059,0.604917663561971,0.295083058954505,2.74238309818802,0.730472701983517
"32",1,33,1,0,0,1.46789490946296,0.599764197530864,0.524971328774479,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1458,40208.66667,0.760900436096671,0.323680756720571,0.604917663561971,0.41209875471384,1.84640314340439,0.785444636796667
"33",1,34,1,0,0,1.90239179830617,0.69956496,0.432992762461538,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,1250,48750,0.711091747320938,0.267969007970828,0.604917663561971,0.317977434218216,2.23629626130306,0.842729637811124
"34",1,35,1,0,0,1.4091791119902,0.31091776,0.400211875210515,NA,NA,NA,NA,NA,NA,NA,NA,874.4562,21108.39717,2812.5,52743.05556,0.996965431391728,0.248012559003648,0.604917663561971,0.42926953616025,2.32246956145416,0.577754855893298
