"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,2,2,0,1,2.10848838574844,0.351279506042167,1.17845096643987,1150,1775,2.71471593800264,1.6018422589973,2.49354360633361,0.0662253715126622,0.0425799732730382,0.0486954771380094
"2",1,3,1,1,1,1.13953335042499,2.37146614408233,1.96552793233764,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,4,4,0,0,1.23379552925074,0.262791318463147,0.461948683660274,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,5,5,0,0,1.10416768135487,0.183354882872387,0.345323636880404,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,6,6,0,1,2.55110351570669,0.723673200826644,1.58505509049678,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,7,7,0,0,1.4208831286215,0.302783146105769,0.565761545238136,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,8,8,0,1,1.10195481463074,0.91846089352787,1.10709067549733,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,9,1,1,1,3.39163724444906,4.48641891400757,9.83590380153178,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,10,1,1,1,1.09958469913887,5.62506006021482,3.57469774631741,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,11,1,1,1,1.54736383184897,2.45292314837953,3.11865522362551,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,12,1,1,1,1.66751806447956,2.8043909979716,3.40350725635082,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,13,1,1,1,1.23381939390694,3.52096289134126,2.81526101068611,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,14,1,1,1,1.70540249432875,2.80060383929777,3.42367961766421,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,15,1,1,1,1.55898360353417,2.46593001545779,3.35186783590963,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,16,16,0,0,3.04685693244745,0.101381628202286,0.708560156983478,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,17,17,0,0,2.25611184839382,0.313547699113136,0.922693519401228,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,18,18,0,0,1.77535100244855,0.239622892013696,0.628432856850167,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,19,1,1,1,1.74124714683556,2.95988502553874,3.96097488511577,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,20,1,1,1,1.95125267673401,6.77174577306122,6.95214464516925,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,21,21,0,0,1.16802997935136,0.380204685124182,0.526026661585763,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,22,22,0,0,1.66412734261297,0.342980389080682,0.711813525023237,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,23,23,0,0,1.3304909570498,0.389741791109433,0.60666012491979,NA,NA,NA,NA,NA,NA,NA,NA
"23",1,24,24,0,0,1.45736504370259,0.180171861393547,0.451811068409388,NA,NA,NA,NA,NA,NA,NA,NA
"24",1,25,25,0,0,1.46578817091054,0.383189331326721,0.662709127147007,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,26,26,0,0,1.09654910123297,0.38128866086829,0.494538449704964,NA,NA,NA,NA,NA,NA,NA,NA
"26",1,27,27,0,0,1.78762318584931,0.294651658422638,0.68281067451752,NA,NA,NA,NA,NA,NA,NA,NA
"27",1,28,28,0,0,1.11130097589437,0.0610278826128508,0.200512236801541,NA,NA,NA,NA,NA,NA,NA,NA
"28",1,29,1,1,1,7.88849733308883,3.79825484065934,16.1339334363553,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,30,30,0,0,1.12048397063414,0.335417428110805,0.486118298780897,NA,NA,NA,NA,NA,NA,NA,NA
"30",1,31,1,1,1,1.02357117131232,5.9305303068432,3.41287023326745,NA,NA,NA,NA,NA,NA,NA,NA
"31",1,32,1,1,1,2.69591678388617,5.45390438658777,8.62015763802884,NA,NA,NA,NA,NA,NA,NA,NA
"32",1,33,1,1,1,1.96652999245526,1.73989222863567,3.5506448398953,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,34,1,1,1,1.9493120580875,1.88416795497288,3.67372978155226,NA,NA,NA,NA,NA,NA,NA,NA
"34",1,35,1,1,1,1.26463005609046,2.53538943591374,2.75702562472493,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,36,36,0,1,2.52477805956104,0.556506458007547,1.37563541097651,NA,NA,NA,NA,NA,NA,NA,NA
"36",1,37,1,1,1,1.14277651510726,9.4331525449126,4.87623953171216,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,38,1,1,1,1.64823582159195,2.96375547643844,2.92166825308172,NA,NA,NA,NA,NA,NA,NA,NA
"38",1,39,39,0,0,1.22848327069735,0.251703079593846,0.452620957768289,NA,NA,NA,NA,NA,NA,NA,NA
"39",1,40,40,0,0,1.0758980910725,0.243112276476975,0.387290942560519,NA,NA,NA,NA,NA,NA,NA,NA
"40",1,41,1,1,1,9.99706837397473,1.88104049251701,3.27800552357695,NA,NA,NA,NA,NA,NA,NA,NA
"41",1,42,42,0,0,2.0695977550047,0.383461241434418,0.936034199044645,NA,NA,NA,NA,NA,NA,NA,NA
"42",1,43,43,0,0,1.47399307427469,0.378041362713877,0.661927063329926,NA,NA,NA,NA,NA,NA,NA,NA
"43",1,44,1,1,1,1.15924421765801,1.36347609664694,1.8533338921762,NA,NA,NA,NA,NA,NA,NA,NA
