species,data type,psi,gs
Acer negundo,1,0.1055,227.6041876
Acer negundo,1,0.138,482.6041876
Acer negundo,1,0.2,12.60418759
Acer negundo,1,0.201,154.6041876
Acer negundo,1,0.202,247.6041876
Acer negundo,1,0.2475,302.6041876
Acer negundo,1,0.34,31.10418759
Acer negundo,1,0.343,48.60418759
Acer negundo,1,0.384,71.60418759
Acer negundo,1,0.431,13.50418759
Acer negundo,1,0.432,41.10418759
Acer negundo,1,0.434,145.6041876
Acer negundo,1,0.462,227.6041876
Acer negundo,1,0.4695,41.10418759
Acer negundo,1,0.492,69.60418759
Acer negundo,1,0.5,169.6041876
Acer negundo,1,0.51,110.6041876
Acer negundo,1,0.5115,188.6041876
Acer negundo,1,0.512,11.00418759
Acer negundo,1,0.6545,121.6041876
Acer negundo,1,0.85,1.404187592
Acer negundo,1,0.8675,17.60418759
Acer negundo,1,0.87,19.80418759
Acer negundo,1,0.958,47.60418759
Acer negundo,1,0.961,10.00418759
Acer negundo,1,0.9695,5.904187592
Acer negundo,1,1.139,8.504187592
Acer negundo,1,1.213,9.204187592
Acer negundo,1,1.253,23.20418759
Acer negundo,1,1.34,3.404187592
Acer negundo,1,1.38,5.404187592
Acer negundo,1,1.383,19.20418759
Acer negundo,1,1.51,6.404187592
Acer negundo,1,1.543,32.60418759
Alnus rhombifolia,1,0.125,99.09883297
Alnus rhombifolia,1,0.178,43.09883297
Alnus rhombifolia,1,0.21,36.59883297
Alnus rhombifolia,1,0.222,85.09883297
Alnus rhombifolia,1,0.256,97.09883297
Alnus rhombifolia,1,0.26,156.098833
Alnus rhombifolia,1,0.276,36.09883297
Alnus rhombifolia,1,0.298,158.098833
Alnus rhombifolia,1,0.3,65.09883297
Alnus rhombifolia,1,0.302,102.098833
Alnus rhombifolia,1,0.37,171.098833
Alnus rhombifolia,1,0.4,146.098833
Alnus rhombifolia,1,0.402,74.09883297
Alnus rhombifolia,1,0.609,81.09883297
Alnus rhombifolia,1,0.75,148.098833
Alnus rhombifolia,1,0.9,136.098833
Alnus rhombifolia,1,1.111,65.09883297
Alnus rhombifolia,1,1.136,8.098832971
Alnus rhombifolia,1,1.151,131.098833
Alnus rhombifolia,1,1.261,83.09883297
Alnus rhombifolia,1,1.35,39.09883297
Alnus rhombifolia,1,1.37,56.09883297
Alnus rhombifolia,1,1.381,-2.901167029
Alnus rhombifolia,1,1.432,30.59883297
Alnus rhombifolia,1,1.45,49.09883297
Alnus rhombifolia,1,1.453,83.09883297
Alnus rhombifolia,1,1.462,35.09883297
Alnus rhombifolia,1,1.571,-2.901167029
Alnus rhombifolia,1,1.652,4.998832971
Betula occidentalis,1,0.171,36.64147274
Betula occidentalis,1,0.175,224.1414727
Betula occidentalis,1,0.18,77.14147274
Betula occidentalis,1,0.197,163.1414727
Betula occidentalis,1,0.23,140.1414727
Betula occidentalis,1,0.328,59.14147274
Betula occidentalis,1,0.4,106.1414727
Betula occidentalis,1,0.441,194.1414727
Betula occidentalis,1,0.445,59.14147274
Betula occidentalis,1,0.45,81.14147274
Betula occidentalis,1,0.48,101.1414727
Betula occidentalis,1,0.519,169.1414727
Betula occidentalis,1,0.623,44.64147274
Betula occidentalis,1,0.689,138.1414727
Betula occidentalis,1,1.09,73.14147274
Betula occidentalis,1,1.115,214.1414727
Betula occidentalis,1,1.16,246.1414727
Betula occidentalis,1,1.21,258.1414727
Betula occidentalis,1,1.26,66.14147274
Betula occidentalis,1,1.313,67.14147274
Betula occidentalis,1,1.38,366.1414727
Betula occidentalis,1,1.47,67.14147274
Betula occidentalis,1,1.53,52.14147274
Betula occidentalis,1,1.53,94.14147274
Betula occidentalis,1,1.58,140.1414727
Betula occidentalis,1,1.7,316.1414727
Betula occidentalis,1,1.77,250.1414727
Betula occidentalis,1,1.8,6.041472736
Betula occidentalis,1,1.84,40.14147274
Betula occidentalis,1,2.23,4.141472736
Betula occidentalis,1,2.27,3.341472736
Betula occidentalis,1,2.35,30.64147274
Betula occidentalis,1,2.43,10.04147274
Betula occidentalis,1,2.64,36.14147274
Betula occidentalis,1,2.71,16.74147274
Betula occidentalis,1,2.84,11.74147274
Betula occidentalis,1,3.2,12.04147274
Betula occidentalis,1,3.35,20.74147274
Cercocarpus betuloides,1,0.23,19.23209044
Cercocarpus betuloides,1,0.242,68.43209044
Cercocarpus betuloides,1,0.3,133.4320904
Cercocarpus betuloides,1,0.32,67.43209044
Cercocarpus betuloides,1,0.462,128.4320904
Cercocarpus betuloides,1,0.47,70.43209044
Cercocarpus betuloides,1,0.67,80.43209044
Cercocarpus betuloides,1,0.7,46.43209044
Cercocarpus betuloides,1,1.4,61.43209044
Cercocarpus betuloides,1,1.42,98.43209044
Cercocarpus betuloides,1,1.5,27.93209044
Cercocarpus betuloides,1,1.58,6.832090437
Cercocarpus betuloides,1,1.6,97.43209044
Cercocarpus betuloides,1,1.7,137.4320904
Cercocarpus betuloides,1,1.78,12.03209044
Cercocarpus betuloides,1,1.8,153.4320904
Cercocarpus betuloides,1,1.8,4.032090437
Cercocarpus betuloides,1,1.9,176.4320904
Cercocarpus betuloides,1,1.9,58.43209044
Cercocarpus betuloides,1,1.9,19.63209044
Cercocarpus betuloides,1,1.9,7.032090437
Cercocarpus betuloides,1,1.98,25.43209044
Cercocarpus betuloides,1,2,158.4320904
Cercocarpus betuloides,1,2,7.632090437
Cercocarpus betuloides,1,2,57.43209044
Cercocarpus betuloides,1,2,10.03209044
Cercocarpus betuloides,1,2.06,1.932090437
Cercocarpus betuloides,1,2.1,22.03209044
Cercocarpus betuloides,1,2.16,99.43209044
Cercocarpus betuloides,1,2.2,2.032090437
Cercocarpus betuloides,1,2.3,0.532090437
Cercocarpus betuloides,1,2.9,17.03209044
Cercis occidentalis,1,0.4,232.3804903
