species,data type,psi,gs
Ficus semicordata,Hao et al. 2010,0.997,560.7
Ficus semicordata,Hao et al. 2010,1.105,541.3
Ficus semicordata,Hao et al. 2010,1.113,530.9
Ficus semicordata,Hao et al. 2010,1.167,468.6
Ficus semicordata,Hao et al. 2010,1.099,448
Ficus semicordata,Hao et al. 2010,1.022,439.2
Ficus semicordata,Hao et al. 2010,1.145,419.7
Ficus semicordata,Hao et al. 2010,1.069,412.4
Ficus semicordata,Hao et al. 2010,1.353,373.5
Ficus semicordata,Hao et al. 2010,1.545,367.3
Ficus semicordata,Hao et al. 2010,1.461,327.4
Ficus semicordata,Hao et al. 2010,1.469,309.6
Ficus semicordata,Hao et al. 2010,1.608,270.9
Ficus semicordata,Hao et al. 2010,1.585,260.6
Ficus semicordata,Hao et al. 2010,1.255,284.8
Ficus semicordata,Hao et al. 2010,1.363,265.3
Ficus semicordata,Hao et al. 2010,0.9961,208.1
Ficus semicordata,Hao et al. 2010,1.234,167.8
Ficus semicordata,Hao et al. 2010,1.388,137.9
Ficus semicordata,Hao et al. 2010,1.504,100.7
Ficus semicordata,Hao et al. 2010,1.596,93.15
Ficus semicordata,Hao et al. 2010,1.65,81.22
Ficus semicordata,Hao et al. 2010,1.618,133.1
Ficus semicordata,Hao et al. 2010,1.725,161.1
Ficus semicordata,Hao et al. 2010,1.749,127
Ficus semicordata,Hao et al. 2010,1.712,50.01
Ficus semicordata,Hao et al. 2010,1.788,66.2
Ficus semicordata,Hao et al. 2010,1.941,74.86
Ficus semicordata,Hao et al. 2010,2.002,101.4
Ficus semicordata,Hao et al. 2010,2.093,144.3
Ficus semicordata,Hao et al. 2010,2.224,120.4
Ficus semicordata,Hao et al. 2010,2.14,87.9
Ficus semicordata,Hao et al. 2010,2.11,70.17
Ficus semicordata,Hao et al. 2010,2.186,71.53
Ficus semicordata,Hao et al. 2010,2.279,56.58
Ficus semicordata,Hao et al. 2010,2.348,46.11
Ficus semicordata,Hao et al. 2010,2.408,108.2
Ficus semicordata,Hao et al. 2010,2.531,102.1
Ficus semicordata,Hao et al. 2010,2.555,50.25
Ficus semicordata,Hao et al. 2010,2.76,109.2
Ficus semicordata,Hao et al. 2010,2.875,125.3
Ficus semicordata,Hao et al. 2010,2.937,106
Ficus semicordata,Hao et al. 2010,2.838,60.2
Ficus semicordata,Hao et al. 2010,3.221,74.45
Ficus semicordata,Hao et al. 2010,3.481,94.8
Ficus semicordata,Hao et al. 2010,3.381,134.9
Ficus semicordata,Hao et al. 2010,3.987,82.2
Ficus benjamina,Hao et al. 2010,1.006,340.9
Ficus benjamina,Hao et al. 2010,0.9134,322.5
Ficus benjamina,Hao et al. 2010,1.081,311.4
Ficus benjamina,Hao et al. 2010,0.936,294.8
Ficus benjamina,Hao et al. 2010,0.9822,283.7
Ficus benjamina,Hao et al. 2010,0.9412,261.5
Ficus benjamina,Hao et al. 2010,0.8008,195.1
Ficus benjamina,Hao et al. 2010,1.208,254.2
Ficus benjamina,Hao et al. 2010,1.399,269.8
Ficus benjamina,Hao et al. 2010,1.358,243.1
Ficus benjamina,Hao et al. 2010,1.306,237.5
Ficus benjamina,Hao et al. 2010,1.207,200.6
Ficus benjamina,Hao et al. 2010,1.393,222.8
Ficus benjamina,Hao et al. 2010,1.444,206.2
Ficus benjamina,Hao et al. 2010,1.694,218.2
Ficus benjamina,Hao et al. 2010,1.753,251.4
Ficus benjamina,Hao et al. 2010,1.398,185.8
Ficus benjamina,Hao et al. 2010,1.519,170.2
Ficus benjamina,Hao et al. 2010,1.612,160.9
Ficus benjamina,Hao et al. 2010,1.455,160
Ficus benjamina,Hao et al. 2010,1.374,162.8
Ficus benjamina,Hao et al. 2010,1.281,171.1
Ficus benjamina,Hao et al. 2010,1.235,149.8
Ficus benjamina,Hao et al. 2010,1.316,142.5
Ficus benjamina,Hao et al. 2010,1.095,123.1
Ficus benjamina,Hao et al. 2010,1.246,112.9
Ficus benjamina,Hao et al. 2010,1.373,112.9
Ficus benjamina,Hao et al. 2010,1.407,91.69
Ficus benjamina,Hao et al. 2010,1.291,88
Ficus benjamina,Hao et al. 2010,1.112,82.46
Ficus benjamina,Hao et al. 2010,1.198,27.08
Ficus benjamina,Hao et al. 2010,1.302,36.31
Ficus benjamina,Hao et al. 2010,1.401,43.69
Ficus benjamina,Hao et al. 2010,1.465,64
Ficus benjamina,Hao et al. 2010,1.452,19.69
Ficus benjamina,Hao et al. 2010,1.516,17.85
Ficus benjamina,Hao et al. 2010,1.615,11.38
Ficus benjamina,Hao et al. 2010,1.638,21.54
Ficus benjamina,Hao et al. 2010,1.713,18.77
Ficus benjamina,Hao et al. 2010,1.754,28
Ficus benjamina,Hao et al. 2010,1.68,100.9
Ficus benjamina,Hao et al. 2010,1.675,124.9
Ficus benjamina,Hao et al. 2010,1.882,69.54
Ficus benjamina,Hao et al. 2010,2.067,43.69
Ficus benjamina,Hao et al. 2010,2.119,33.54
Ficus benjamina,Hao et al. 2010,2.05,20.62
Ficus benjamina,Hao et al. 2010,2.09,9.538
Ficus benjamina,Hao et al. 2010,2.154,19.69
Ficus benjamina,Hao et al. 2010,2.195,24.31
Ficus benjamina,Hao et al. 2010,2.194,11.38
Ficus benjamina,Hao et al. 2010,2.247,18.77
Ficus benjamina,Hao et al. 2010,2.293,10.46
