"","Species","data.type","A.A","B.B","C.sd","D.NA","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.sd","sterror.NA","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"1","Acer campestre","Li et al. 2015",330.878239795864,0.67763774668736,41.8423592347068,NA,-200.9610611789,0.750470373538393,1.00000000021627,407.922122357801,408.607836643515,40.403852147113,0.107649544265975,4.73770045249254,NA,39,330.878239795864,0.3292962241331,1.02288749991925,2.37507122397159
"2","Acer pseudoplatanus","Li et al. 2015",425.324676,1.68243145623653,30.4400980332298,NA,-169.214475131458,0.775805649147739,1.03427135171313,344.428950262917,345.203143811304,96.2288634498592,0.27879087433062,4.1634358811916,NA,35,425.324676,0.132631585368336,0.411991334321852,0.956614254012039
"3","Alberta magna","Guyot et al. 2012",105.782993853752,0.238238719704299,29.5406076378519,NA,-216.211697230055,0.228491588478396,1.00000000118791,438.423394460109,439.008760313768,10.1093669184352,0.0725980047710824,3.11383098357809,NA,45,105.782993853752,0.936638475858058,2.90946484862023,6.75556817309852
"4","Alberta magna","Pan et al. 2017",134.096115601662,0.831130326981358,27.8465031937382,NA,-232.536650725705,0.53268334934098,0.999999994434387,471.07330145141,471.606634784743,15.6871796255485,0.125997905278603,2.81289487982258,NA,49,134.096115601662,0.268482022698727,0.833981336088934,1.93644469487659
"5","Arabidopsis Col-0","Pan et al. 2017",386.723830867098,2.54011305537901,88.5149270785606,NA,-306.909705964888,0.414311914886288,0.999999987395772,619.819411929777,620.319411929777,50.4750235633313,0.507114425110466,8.6794911949706,NA,52,386.723830867098,0.0878478817474976,0.272880444865286,0.63360877147807
"6","Bauhinia galpinii","Pan et al. 2017",175.834935594572,0.415867814899147,54.4859667948852,NA,-270.844085289025,0.215993544143958,1.00000000323565,547.688170578049,548.209909708484,27.4154712904446,0.110602894863882,5.44851044440543,NA,50,175.834935594572,0.536573265157162,1.66674879787954,3.87007086091625
"7","Bursera simaruba","Brodribb et al. 2003",1040.8,1.21020655173154,100,NA,-357.183925174955,0.381379975734098,1.05082368644001,720.36785034991,720.829388811449,257.714996948712,0.186461957301575,7.09193771917247,NA,56,1040.8,0.184384682924531,0.572751138694633,1.3298869603138
"8","Calycophyllum candidissimum","Brodribb et al. 2003",752.6,0.893845152091893,82.0572673019179,NA,-174.790677810924,0.633545032222776,1.05311266609801,355.581355621848,356.504432544925,190.192965050109,0.185553676412113,13.5196735476187,NA,30,752.6,0.249644528240692,0.775466733737664,1.80057799571602
"9","Camellia sasanqua","Pan et al. 2017",175.037333589775,1.12562733094874,50.6716303931575,NA,-106.886094747862,0.477788984473464,0.9999999973365,219.772189495723,221.272189495723,29.0109121901629,0.366904462061003,8.01187785432484,NA,20,175.037333589775,0.19823927971448,0.615787447143564,1.42981417400161
"10","Carpinus betulus","Li et al. 2015",260.531637701534,0.586211330845299,39.6378513243495,NA,-229.44253644433,0.622599204613136,1.00000000341191,464.885072888661,465.470438742319,33.904866639064,0.0952330644564352,4.17816623913058,NA,45,260.531637701534,0.380653766948591,1.18241859904081,2.7454909650302
