"","Species","data.type","A.A","B.B","C.sd","D.NA","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.sd","sterror.NA","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"1","Acer campestre","Li et al. 2015",199.22920699496,-41.0881485567868,50.6143709362914,NA,-208.383789046667,0.634878431452412,1.00000000001173,422.767578093334,423.453292379048,14.3109762558579,4.98945153599283,5.73090382495684,NA,39,199.22920699496,0.969764829970915,2.42441207492729,3.87905931988366
"2","Acer pseudoplatanus","Li et al. 2015",117.768228048693,-27.9633352462077,52.3632886015215,NA,-188.200049790395,0.336583303732759,1.0000000046045,382.400099580789,383.174293129176,13.8801688229212,6.63579789493028,6.25854564340442,NA,35,117.768228048693,0.842304589290109,2.10576147322527,3.36921835716044
"3","Alberta magna","Guyot et al. 2012",97.4207566765779,-13.909138739698,30.2808289647611,NA,-217.325399939897,0.18934264106612,0.999999999943122,440.650799879793,441.236165733452,7.86447448168517,4.29004075087097,3.19185659659915,NA,45,97.4207566765779,1.40081652070275,3.50204130175688,5.60326608281101
"4","Alberta magna","Pan et al. 2017",110.177931973822,-43.6319908361314,27.1291398149422,NA,-231.257801347979,0.556450615670631,1.00000000237787,468.515602695958,469.048936029291,8.98794972772738,5.56499158049547,2.74045259667132,NA,49,110.177931973822,0.505032797552679,1.2625819938817,2.02013119021072
"5","Arabidopsis Col-0","Pan et al. 2017",321.419601182966,-423.148319385078,87.0833230963612,NA,-306.061804635958,0.433104048218814,1.00000001158844,618.123609271916,618.623609271916,25.7378550581388,67.1343950104924,8.53911266982663,NA,52,321.419601182966,0.151918174530413,0.379795436326032,0.607672698121651
"6","Bauhinia galpinii","Pan et al. 2017",174.186247201237,-51.2706364705277,52.6559123539937,NA,-269.135854200826,0.267774877338414,0.99999999207605,544.271708401652,544.793447532087,20.0791751725818,11.9893741158843,5.26554869975459,NA,50,174.186247201237,0.67947760820705,1.69869402051763,2.7179104328282
"7","Bursera simaruba","Brodribb et al. 2003",830.319039156318,-455.626525997072,100,NA,-348.888205064262,0.488665924525782,1.00000001080156,703.776410128523,704.237948590062,74.5133103789951,52.4119100617322,7.42824789688089,NA,56,830.319039156318,0.364473528989247,0.911183822473117,1.45789411595699
"8","Calycophyllum candidissimum","Brodribb et al. 2003",721.359130414394,-352.639514619813,52.7720479243637,NA,-161.547605707497,0.848436577272509,1.00000000045985,329.095211414994,330.018288338071,40.4269776474545,27.2116739840401,6.81277827919465,NA,30,721.359130414394,0.409119852148222,1.02279963037056,1.63647940859289
"9","Camellia sasanqua","Pan et al. 2017",150.332701867133,-80.5273197334972,51.2116884091342,NA,-107.098126313855,0.46659824225576,0.999999998344569,220.196252627711,221.696252627711,19.2461902693209,19.2518905842293,8.09718996352423,NA,20,150.332701867133,0.373370683054284,0.93342670763571,1.49348273221714
"10","Carpinus betulus","Li et al. 2015",176.630260615822,-39.888113728017,42.2080605041486,NA,-232.269738336247,0.572069346511806,1.00000000444823,470.539476672494,471.124842526153,13.0767697950602,5.14271924659265,4.44906896034844,NA,45,176.630260615822,0.885628544985614,2.21407136246403,3.54251417994246
