"","Species","data.type","A.A","B.B","C.Xo","D.sd","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.Xo","sterror.sd","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"1","Acer campestre","Li et al. 2015",213.404468051747,2.7503327183421,1.72521715750853,41.6790291560667,-200.808528467894,0.752414627687559,1.00000000197577,409.617056935788,410.793527524023,"32.8999649338555","0.885639758876992","0.313057277733602","4.71918356764885",39,213.404468051747,1.04217187227792,1.72521715750853,2.85593415033952
"2","Acer pseudoplatanus","Li et al. 2015",425.324676,3.70108519267135,0.58835893564222,25.3676443967309,-162.834456630768,0.844298482102164,1.00268531912689,333.668913261536,335.002246594869,"237.343817631724","0.821912354768781","0.148034475769543","3.07568400438967",35,425.324676,0.404549014707547,0.58835893564222,0.855684291804032
"3","Alberta magna","Guyot et al. 2012",166.872509325323,0.505484635680514,0.769682307961365,28.3471550603674,-214.355934144651,0.289570856286985,1.00000000239143,436.711868289302,437.711868289302,"111.657529134327","0.380257807630143","2.15383420045318","2.9880309582109",45,166.872509325323,0.0495742926856524,0.769682307961365,11.949960818305
"4","Alberta magna","Pan et al. 2017",81.1882917303792,9.99385060560502,1.68126921238543,26.7911111998253,-230.643425827309,0.567435003913783,1.00000000337106,469.286851654617,470.195942563708,"6.24452979138149","3.96815793607956","0.0717415466120897","2.70630660453949",49,81.1882917303792,1.46350501589037,1.68126921238543,1.93143592527794
"5","Arabidopsis Col-0","Pan et al. 2017",262.296367864976,3.56229848060095,0.422265175561599,85.5560781837422,-305.141750262173,0.452813839970036,1.00000000492808,618.283500524346,619.134564354133,"27.6122897382393","1.2812651340081","0.0509878729667072","8.38935591611687",52,262.296367864976,0.28613857519708,0.422265175561599,0.623152185507519
"6","Bauhinia galpinii","Pan et al. 2017",126.196963736604,17.2358168723926,1.97761117011556,46.7449275418653,-263.182214795016,0.422942199847023,1.00000000388533,534.364429590032,535.253318478921,"9.74988953147076","7.61343972209983","0.0538605267411679","4.67449122522586",50,126.196963736604,1.82477850924219,1.97761117011556,2.14324419120324
"7","Bursera simaruba","Brodribb et al. 2003",448.848001212396,9.15192908369439,1.30943202809542,100,-343.490389657939,0.558474179811929,1.00000000336047,694.980779315877,695.765093041368,"65.4191160946261","2.44250207494262","0.0562159968800835","8.19666346210221",56,448.848001212396,1.12537670876081,1.30943202809542,1.52358958813897
"8","Calycophyllum candidissimum","Brodribb et al. 2003",361.1336584814,8.9486068048154,1.50062223526303,47.3650788921233,-158.304712958434,0.877903548399348,1.00000000246004,324.609425916868,326.209425916868,"25.3183908889199","1.591415894686","0.048307564941574","6.11474810026732",30,361.1336584814,1.28526189356279,1.50062223526303,1.75206866728428
"9","Camellia sasanqua","Pan et al. 2017",143.79133352001,2.72929877064717,0.815430658876541,49.9373573359471,-106.594158140857,0.492813853127666,0.999999999453546,221.188316281713,223.85498294838,"21.1882116861204","1.77230256575477","0.19224421094446","7.89574099082175",20,143.79133352001,0.490676862451081,0.815430658876541,1.35512230210798
"10","Carpinus betulus","Li et al. 2015",172.794155974604,2.63721810211802,1.93437024680571,39.3700703961338,-229.13749953832,0.627681174630915,1.00000000948948,466.27499907664,467.27499907664,"29.9989218253016","0.921304119538322","0.381784523828367","4.14995772280918",45,172.794155974604,1.14352591799971,1.93437024680571,3.27214992929277
"11","Cercocarpus betuloides","Pan et al. 2017",131.142831971313,3.76240167457365,2.71505835118437,45.2164229553812,-360.897523637058,0.483342459916553,0.999999999176058,729.795047274115,730.420047274115,"10.2803675599271","1.11663118712956","0.240288479503671","3.84905552352528",69,131.142831971313,1.87827440902124,2.71505835118437,3.92463519437358
"12","Comarostaphylis diversifolia","Pan et al. 2017",904.26,0.659988725224284,0.0400562565273913,86.206180654684,-299.659700802511,0.205738559994526,1.00333208082423,607.319401605021,608.188966822413,"N/A","N/A","N/A","N/A",51,904.26,0.0049027829604754,0.0400562565273913,0.327263862162195
"13","Cordia africana","Gindaba et al. 2004",108.003752141758,2.15979300259429,1.30300845915402,14.3278728033626,-44.8925983838558,0.686307999438152,0.999999997109011,97.7851967677115,104.451863434378,"17.9847709522946","1.03303175390748","0.249617216771959","3.05471282282155",11,108.003752141758,0.685786677046485,1.30300845915402,2.47574224092405
"14","Corylus avellana","Li et al. 2015",123.216219929873,29.6139872223213,1.25843083326466,32.1758626308751,-166.265273342066,0.709011631585557,0.999999996385248,340.530546684132,341.90985702896,"9.32789900552949","20.5729209432557","0.0296425282078792","3.90189253357732",34,123.216219929873,1.20087856466939,1.25843083326466,1.31874130216254
